THRESHOLD,VALUE,SOURCE
LOW_MEDIUM,0.050903787688866296,TRAINING TARGET 33rd PERCENTILE
MEDIUM_HIGH,0.08541311974661926,TRAINING TARGET 66th PERCENTILE
