MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,YEAR,NEXT_YEAR_WOMEN_CRIME_SHARE,TARGET_YEAR
-0.7858061290266269,-2.3900097978430566,-1.0308652122622535,-1.1566843657791333,-0.04338299745293485,-1.4879740439213698,-1.3715160735941276,-0.8761933309611163,0.005484249038532449,-0.7098016770462428,-0.983245095124492,-0.5169617029440687,0.046696090567003905,-0.798070362611217,-0.32494731496484575,-1.3848183930392008,-0.17420982193726067,-0.5110174244284721,-0.6072192663982137,-0.11547076275706344,-1.6382473037358922,-0.34236128750346684,-0.6558898835296213,-0.7000238022177031,-1.293708956308935,-0.6219285602808435,-0.5338620764445594,-0.5169617029440687,-0.5234441409412774,2001,0.0413793103448275,2002
-0.7204811391641088,-1.3197416638870065,-1.0308652122622535,-1.7422176242440401,-0.04338299745293485,-1.4879740439213698,-0.743756104015037,-0.490844477027905,-0.18040149602095717,-0.9573658756146107,-1.264246617984767,-0.6071011411084204,-0.5734778259911929,-0.6030477179274285,-0.733127187907122,-1.3848183930392008,-0.25222403474145777,-0.056878536771822856,-0.9950426550003508,-0.11547076275706344,-1.6382473037358922,-0.3294804441763698,-0.7286409363233297,-0.8636932794570006,-1.2061747112852457,-0.8362956994739467,-0.6535692093685697,-0.6071011411084204,-0.6814446654868733,2002,0.0327332242225859,2003
-0.601972069046949,-1.1474669731954448,-0.4030934246589593,-1.399702625117001,-0.04338299745293485,-1.4879740439213698,-0.743756104015037,-0.490844477027905,-0.06292980630913689,-0.7915561551082912,-1.1059947670643384,-0.3083964271375206,-1.294201152906212,-0.4985473818324335,0.050613370996001376,-1.3848183930392008,-0.6244093250952442,-0.24536320503011425,-0.732070511043661,-0.11547076275706344,-1.6382473037358922,-0.3666350936152054,-0.6882326590738382,-0.9792904548609636,-0.972375293890771,-0.6657737312750218,-0.698525332604576,-0.3083964271375206,-0.8689313617119153,2003,0.0319001386962552,2004
-0.7858061290266269,-1.8548757308650314,-0.03587046990034576,-0.30213861461172264,-0.04338299745293485,-1.2560502855799294,-1.3715160735941276,-1.0591453475221622,0.05769053040579169,-0.39955755828587347,-0.6019497876031186,-0.7137134681709634,-1.839407302697915,-0.6030477179274285,0.14472897971300316,-1.3848183930392008,-0.9827049543251777,-0.056878536771822856,-0.8930317604109391,-0.11547076275706344,-0.687938404072424,-0.21801910731891508,-0.559740863515211,-0.8907584677976152,-1.1656395054874382,-0.40225781912566,-0.8539622533052863,-0.7137134681709634,-0.8869964666387383,2004,0.03003003003003,2005
-0.7204811391641088,-1.3197416638870065,0.2246783629443348,-0.9681847593883361,-0.04338299745293485,-1.4879740439213698,-1.3715160735941276,-0.8761933309611163,0.05769053040579169,-0.491788156091546,-0.7981541237794901,-1.1190305092044066,-0.11114469753309411,-0.4985473818324335,-0.056086105967298905,-1.3848183930392008,-0.5575582916775228,-0.5110174244284721,-0.8930317604109391,-0.11547076275706344,-0.9612335836702048,-0.2531641370052914,-0.6213349311043087,-0.9792904548609636,-1.3171135157071012,-0.46853729894611645,-0.43174130056641685,-1.1190305092044066,-0.9275489768098354,2005,0.0442748091603053,2006
-1.2041496396169258,-0.5387500863293074,-0.03587046990034576,-0.1610203567928311,-0.04338299745293485,-0.0895720073952025,-1.3715160735941276,0.02454223789947159,0.10619101252149904,-0.23828954417022766,-0.5016560029420206,-0.4034291899668343,0.1780951885660834,-0.25675375782747334,0.604478946503751,-0.5063681028137273,0.01828154447006561,-0.056878536771822856,-0.07260021744051995,-0.11547076275706344,-0.8522587151135285,-0.21621916778199715,-0.42377523773785525,-0.2100917705973314,-0.640753779498133,-0.22652936426628073,-0.17073803318590297,-0.4034291899668343,0.08736493471267759,2008,0.0825190010857763,2009
-3.2845627337046257,-2.3900097978430566,-1.0308652122622535,-2.3277508827089477,-0.04338299745293485,-2.3736541586970525,-1.3715160735941276,-2.1957470885106765,-2.0756601235157293,-3.7648435165828746,-1.8685853821070848,-2.060147534116572,-1.839407302697915,-2.287591570465253,-1.610983355527247,-1.3848183930392008,-1.7532770692204918,-0.9651563120851213,-1.8955406768500718,-0.11547076275706344,-1.6382473037358922,-2.4324956905299393,-3.273485688009188,-2.538264114587808,-4.270921272017149,-3.485573724627831,-2.584893914099236,-2.060147534116572,-0.5461386194545128,2001,0.0714285714285714,2002
-1.9719682129250402,-2.3900097978430566,-0.4030934246589593,-1.7422176242440401,-0.04338299745293485,-2.3736541586970525,-1.3715160735941276,-2.1957470885106765,-2.0756601235157293,-2.7539756680578376,-1.8685853821070848,-2.060147534116572,-1.839407302697915,-2.287591570465253,-1.610983355527247,-1.3848183930392008,-1.7532770692204918,-0.9651563120851213,-1.8955406768500718,-0.11547076275706344,-1.6382473037358922,-2.4824501668187366,-3.058737796482804,-2.2694387020751936,-2.782315114163042,-2.969073072119128,-2.584893914099236,-2.060147534116572,-0.029839233278406267,2002,0.0,2003
-1.588058926270983,-2.3900097978430566,-1.0308652122622535,-2.3277508827089477,-0.04338299745293485,-2.3736541586970525,-0.743756104015037,-2.1957470885106765,-2.8266385869525945,-2.963749700034446,-1.8685853821070848,-2.060147534116572,-0.9752760001155045,-2.287591570465253,-1.0571177800194975,-1.3848183930392008,-2.239453943780429,-0.9651563120851213,-1.8955406768500718,-0.11547076275706344,-1.6382473037358922,-2.192069330018594,-2.9350875149733335,-2.997824192680334,-2.6542456633415448,-3.2712065854347276,-1.8196246056706193,-2.060147534116572,-1.5787373918067262,2003,0.037037037037037,2004
-2.244356186660776,-2.3900097978430566,-1.0308652122622535,-2.3277508827089477,-0.04338299745293485,-2.3736541586970525,-1.3715160735941276,-2.1957470885106765,-2.0756601235157293,-2.7539756680578376,-1.8685853821070848,-2.060147534116572,-1.839407302697915,-1.8176999461598498,-1.0571177800194975,-1.3848183930392008,-1.7532770692204918,-0.9651563120851213,-1.8955406768500718,-0.11547076275706344,-1.6382473037358922,-2.3859891857285143,-3.086016329807273,-2.538264114587808,-3.358186585195528,-2.854207241385862,-2.1020627379165693,-2.060147534116572,-0.7756050133105608,2004,0.0625,2005
-3.2845627337046257,-2.3900097978430566,-1.0308652122622535,-2.3277508827089477,-0.04338299745293485,-2.3736541586970525,-1.3715160735941276,-2.1957470885106765,-2.3528239300789013,-2.591262287728562,-1.8685853821070848,-2.060147534116572,-1.839407302697915,-2.287591570465253,-1.610983355527247,-1.3848183930392008,-1.7532770692204918,-0.9651563120851213,-1.8955406768500718,-0.11547076275706344,-1.6382473037358922,-2.7303249672716428,-3.473911319987175,-2.538264114587808,-4.270921272017149,-2.969073072119128,-2.584893914099236,-2.060147534116572,-0.22345150309444567,2005,0.0952380952380952,2006
-3.2845627337046257,-1.8548757308650314,-1.0308652122622535,-2.3277508827089477,-0.04338299745293485,-1.8148522221384908,-1.3715160735941276,-2.1957470885106765,-1.4964726778351973,-2.7539756680578376,-1.8685853821070848,-2.060147534116572,-1.839407302697915,-2.287591570465253,-1.610983355527247,-1.3848183930392008,-2.239453943780429,-0.9651563120851213,-1.5077172882479348,-0.11547076275706344,-1.6382473037358922,-2.659303871588619,-3.2058466604780187,-2.538264114587808,-3.358186585195528,-2.5884298618558184,-2.584893914099236,-2.060147534116572,-0.6359298170503574,2008,0.05,2009
1.0945317383866933,0.7837297937853949,1.5868960600648556,0.9936428111745377,-0.04338299745293485,0.7302608484070078,0.7138574061962895,0.8687115968358425,0.7917060873034906,0.09862071391330582,-0.14377243498034178,0.49488222605815524,0.3891025753968363,0.8673761618161544,1.1329754351035488,0.880618749825987,1.275030533925317,1.3642505717064075,0.9974013705357678,-0.11547076275706344,0.903192685689182,0.7267345998634956,0.8006694823480767,1.0147414630683047,0.7130367089820071,0.3130906068946445,0.7557489606010689,0.49488222605815524,0.6346134673709586,2001,0.1142245989304812,2002
1.085203221521238,0.993069294716655,1.5868960600648556,0.745085214425313,-0.04338299745293485,0.6585530945099478,0.5117638351431439,0.8489543794320332,0.7743115086382726,0.19095959877944987,0.05481842489270307,0.5095017096484898,0.7233013383577861,1.0427478562140577,1.3164189862128284,1.0495814826971799,1.3831525862564884,1.759677013854774,1.1732628791603459,-0.11547076275706344,1.008936921726175,0.8236983255424879,0.8924993121606305,1.167350358660031,0.7130367089820071,0.37004479044402155,0.9547013046582069,0.5095017096484898,0.8981744013820903,2002,0.0950624871952468,2003
1.14865142820651,0.8445514096672904,1.2196731053062424,0.6994121494047595,-0.04338299745293485,0.7302608484070078,0.6184359488792972,0.4433604265884439,0.8219426158749844,0.35687820192238023,0.10268276118029725,0.6268436750895625,0.5169344735922125,1.0954741621165975,1.3944378956932477,0.6021127474597392,1.236587764674272,1.4517381931156959,1.1686002615151714,-0.11547076275706344,1.056267956143843,0.8839500758014532,0.9260127331662008,1.0743775978235701,0.696378368136311,0.45373842451816165,0.9760050489315446,0.6268436750895625,0.48265216725903154,2003,0.1129515066852923,2004
1.1998442631364674,1.0307370220230285,1.2196731053062424,0.9936428111745377,-0.04338299745293485,0.763856575408945,0.08609743661719865,-0.3078924604668588,0.7154734835199451,0.2814707154885422,0.2493532822481309,0.5645775786440744,0.9571093421626189,1.1225941911518835,1.1329754351035488,0.7805383116335695,1.2063065889383544,1.8368465649948404,1.2901643996382075,-0.11547076275706344,1.0994143482880612,0.8772392725806518,0.9464417633208739,1.2058660169544566,0.721242276083687,0.3544166061061602,1.0589820144947621,0.5645775786440744,0.8705679381031535,2004,0.1142459765547387,2005
1.157378096459611,0.6146127159398675,1.3592847931980492,1.041927148531799,-0.04338299745293485,1.0039649805236324,0.7138574061962895,0.30041072634158533,0.7672278177264287,0.4637795518080701,0.3257262177812421,0.41574152378517587,0.23638601524759947,1.2097852384124426,1.1329754351035488,1.0867788831425254,1.2512518172275153,1.889289260063615,1.259180102992419,-0.11547076275706344,1.1083100800095025,0.8555977041649176,0.9498464841709564,1.2163072570851035,0.6750744594538549,0.49170841439597734,1.0589820144947621,0.41574152378517587,0.8986379660619362,2005,0.1308395949036262,2006
1.0757818820682943,1.0753757697355513,1.4217704809134049,1.19854576652778,-0.04338299745293485,1.3143899186348345,0.8001766140825664,0.1740249197047562,0.8876910660675137,0.5874605386420376,0.42771520516841915,0.6500050744298873,0.5169344735922125,1.2870292272902846,1.2299499345951024,1.1223225086181907,1.4259107238150868,2.1025007843931984,1.4893510092885314,-0.11547076275706344,1.169538721134687,0.9963410743911526,1.102082241684292,1.4357625551756892,0.877127360541692,0.6126904457868908,1.152927696324113,0.6500050744298873,1.258463514716727,2006,0.1215479331574318,2007
1.1915020346965624,0.7962834893198231,1.2921664445134098,0.9246456270467064,-0.04338299745293485,1.198385196248752,0.08609743661719865,-0.3078924604668588,0.8349633915734614,0.7400331171453877,0.5487696743821869,0.6088499819919087,0.3414172964688957,1.2327674500265628,0.6985945552207524,1.0867788831425254,1.3070219730157713,2.2438295729520443,1.3591963042767397,-0.11547076275706344,1.1632775819346761,0.964359435859932,1.0445226128232525,1.3379542923863508,0.753277354622342,0.6759181004678116,1.0881623288985427,0.6088499819919087,1.056977785959847,2007,0.1296226415094339,2008
0.7906844986758332,1.0214909801988994,1.4217704809134049,0.9936428111745377,-0.04338299745293485,0.6395832596901906,-0.11599613443594647,0.30041072634158533,0.9449269972041766,0.6533904461651076,0.3554682095822071,0.6385390426472791,0.43406145225860826,1.0427478562140577,1.4483274661169812,0.04787232232300581,1.3831525862564884,2.0777739283219065,1.3915469832357328,-0.11547076275706344,1.2040610156787415,0.8347521393856215,0.9900208228881329,1.3341107741113893,0.6729137120318763,0.6740505482872633,0.9191991940018422,0.6385390426472791,1.2320743985188172,2008,0.1624623493975903,2009
1.4722322368722032,1.3437703840635769,-0.4030934246589593,0.3568971502777205,-0.04338299745293485,0.842188122188557,0.6184359488792972,0.1271616022848213,0.7672278177264287,0.5412696679808882,0.36503528288444226,0.9395550200425791,0.1151362994679008,0.552618600222118,1.7838155101028523,0.27790288237099875,1.1126470070449648,1.1437993723766173,0.9263105458940913,-0.11547076275706344,1.097615590570265,0.2554943069182064,0.7952248532770719,0.840948614763902,0.9653381584655117,0.5773488158067692,0.4409060022301879,0.9395550200425791,0.13500107983527457,2001,0.0904410118647862,2002
1.561342164974449,1.2665024246504568,0.8524501505476288,0.5167585589286923,-0.04338299745293485,1.0039649805236324,1.0185889364535545,0.33855178227051413,0.784801280556636,0.5211250991492075,0.38368428404057225,0.812521933133495,1.0217950512926062,0.8989125603220737,1.6335506596525449,0.45632844654482935,1.4029117792553212,1.4181316513728737,0.9153751317562799,-0.11547076275706344,1.167980945752364,0.22349820798171655,0.8571278225695388,0.9827832263518931,0.969890536515723,0.5666270059354772,0.8913323522879228,0.812521933133495,0.3824374424525486,2002,0.0955914447839371,2003
1.6002206918569224,1.2799294633375642,1.0545475261547914,0.2028817575414782,-0.04338299745293485,0.9404533507532559,0.08609743661719865,0.1740249197047562,0.7636582531879936,0.5251987802248169,0.612806176513421,0.8499919731374019,0.934308725188539,0.7241275473248211,1.3563802688232451,-0.09791197859190416,1.559425774260694,1.5433079705411963,0.8966606487494598,-0.11547076275706344,1.1585284796639106,0.23187194244887752,0.8768827735564091,1.0362296184711535,0.9592292565635913,0.5730785867565487,0.7382607246695971,0.8499919731374019,0.49412238734989905,2003,0.0986964618249534,2004
1.4784410250407505,0.993069294716655,0.5919013177029483,0.24409705006288332,-0.04338299745293485,0.8117625950355307,0.6184359488792972,0.7423257901990135,0.8252211356166334,0.678508441010505,1.0459811144222204,0.8459452518997311,0.692451650715529,0.9578984704049479,1.5462939696082025,0.6021127474597392,1.4662113875367555,1.6109126230332018,0.9004539573772281,-0.11547076275706344,1.1472642729634452,0.517101283067572,0.8267923609487235,1.0147414630683047,0.8821881289744175,0.7938419277115768,0.8769694074886633,0.8459452518997311,0.5614533598283079,2004,0.0869086908690869,2005
1.5947634041099783,1.3437703840635769,0.2246783629443348,0.0655945535825914,-0.04338299745293485,0.9404533507532559,1.2461959184583875,0.33855178227051413,0.7193030176577994,0.6735535837846782,1.056874398094713,0.6500050744298873,0.3414172964688957,0.8136521952241471,1.6606400036707782,0.6661148895361714,1.3791330625575196,1.6951806609559052,0.8613113659388026,-0.11547076275706344,1.2225456332051472,0.7186991502670863,0.8705814438476331,0.9678836095317093,0.9199959561400572,0.7654439864585837,0.7019092696107014,0.6500050744298873,0.3058405656545745,2005,0.0823182711198428,2006
