,NEXT_YEAR_WOMEN_CRIME_SHARE
count,9185.0
mean,0.07880715014754248
std,0.05309631269837378
min,0.0
25%,0.044264635887672536
50%,0.07144940215806357
75%,0.1036734693877551
max,1.0
