MODEL,MAE,RMSE,R2
Original MLP,0.02887735831511851,0.03960297681944873,0.6571715519248813
Original MLP + Clipping,0.028000026890799265,0.03861495255550137,0.674064098095768
Bounded MLP,0.03222459241691213,0.05187543059584022,0.41177345536116916
