STATE_UT,DISTRICT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Karnataka,Raichur,3128,396,422
Rajasthan,Praapgarh,3124,841,742
Puducherry,PUDUCHERRY,3113,36,103
Assam,Dibrugarh,3108,430,470
Uttar Pradesh,Shahjahanpur,3106,453,799
Assam,TINSUKIA,3104,258,482
Haryana,ROHTAK,3103,289,340
Bihar,Aurangabad,3079,179,304
Tamil Nadu,Trichy City,3074,43,77
Chhattisgarh,Raigarh,3074,315,496
Gujarat,Valsad,3072,136,267
Kerala,WAYANADU,3068,256,226
Karnataka,RAICHUR,3062,364,337
West Bengal,Bankura,3049,534,495
Karnataka,Mangaluru City,3039,156,303
Jharkhand,Hazaribagh,3039,162,327
Odisha,SAMBALPUR,3038,197,476
Tamil Nadu,MADURAI URBAN,3031,135,267
Andhra Pradesh,Visakha Rural,3028,394,298
West Bengal,Bidhannagar PC,3014,500,264
Bihar,Supaul,3008,137,355
Odisha,JAJPUR,3008,471,503
Madhya Pradesh,Jhabua,2990,172,345
Bihar,NAWADAH,2989,168,278
Rajasthan,JODHPUR WEST,2989,314,358
Madhya Pradesh,Neemuch,2986,183,211
Uttar Pradesh,Hardoi,2981,312,475
Gujarat,Bharuch,2981,154,268
Karnataka,UTTAR KANNADA,2977,285,304
Rajasthan,Jalore,2971,339,301
Odisha,MAYURBHANJ,2958,619,830
Madhya Pradesh,SINGRAULI,2954,243,310
Rajasthan,Jodhpur East,2952,345,294
Odisha,Angul,2950,232,568
Rajasthan,PRATAPGARH,2936,710,586
Assam,Golaghat,2932,321,594
Rajasthan,JODHPUR RURAL,2932,315,283
Karnataka,Vijayapura,2931,301,426
Bihar,SUPAUL,2930,136,276
Haryana,JIND,2923,271,341
Uttar Pradesh,Badaun,2919,337,754
Uttar Pradesh,Pilibhit,2916,380,444
Karnataka,MYSORE COMMR.,2916,86,274
Puducherry,Puducherry,2913,38,82
Uttar Pradesh,SHAHJAHANPUR,2903,325,507
Gujarat,Vadodara Rural,2896,117,159
Haryana,Jind,2892,222,297
Gujarat,Rajkot Rural,2891,302,210
Uttar Pradesh,HARDOI,2890,305,471
Himachal Pradesh,KANGRA,2884,217,244
West Bengal,BIRBHUM,2882,397,407
Uttar Pradesh,Azamgarh,2881,336,571
Karnataka,Chikkamagaluru,2878,319,378
Karnataka,MANGALORE CITY,2872,145,219
Assam,Lakhimpur,2872,495,320
Madhya Pradesh,BALAGHAT,2871,347,325
Punjab,PATIALA,2869,312,318
Chhattisgarh,RAJNANDGAON,2866,163,272
Maharashtra,OSMANABAD,2864,357,351
Jharkhand,RANCHI,2860,157,463
Madhya Pradesh,Barwani,2857,184,258
Tamil Nadu,SALEM URBAN,2852,85,153
Assam,GOLAGHAT,2844,448,551
Bihar,BUXAR,2833,132,302
Assam,Karimganj,2827,435,301
Punjab,SAS NGR,2826,344,307
Uttar Pradesh,Amroha,2826,363,417
Haryana,SIRSA,2825,329,342
Uttar Pradesh,UNNAO,2825,394,537
Maharashtra,Osmanabad,2825,296,355
Gujarat,SURENDRANAGAR,2822,209,231
Andhra Pradesh,TIRUPATHI URBAN,2821,226,140
Rajasthan,JODHPUR EAST,2818,277,232
Maharashtra,Dhule,2818,356,349
Gujarat,ANAND,2816,199,172
Bihar,ARARIA,2813,98,302
Gujarat,KUTCH (EAST(G)),2810,308,181
Odisha,Bhadrak,2807,438,510
Goa,North Goa,2805,252,363
Uttar Pradesh,PILIBHIT,2798,257,274
Uttarakhand,HARIDWAR,2796,274,631
Odisha,Mayurbhanj,2793,786,891
Jammu & Kashmir,SRINAGAR,2792,450,468
Bihar,SAHARSA,2792,103,271
Rajasthan,Rajsamand,2790,425,270
Rajasthan,Banswara,2789,453,466
Assam,Kamrup,2785,688,527
Rajasthan,BANSWARA,2784,443,402
Karnataka,Uttara Kannada,2783,241,291
Tamil Nadu,TRICHY URBAN,2783,59,129
Madhya Pradesh,Datia,2783,193,333
Uttar Pradesh,Etah,2783,332,621
Haryana,Rewari,2781,257,343
Maharashtra,AMRAVATI COMMR.,2776,189,288
Punjab,Patiala,2774,284,312
Karnataka,Mysuru City,2766,186,321
Karnataka,CHICKMAGALUR,2758,238,306
Gujarat,BHARUCH,2756,106,171
Haryana,PALWAL,2747,355,325
Bihar,MADHEPURA,2745,98,246
Uttar Pradesh,Etawah,2721,245,518
Jharkhand,HAZARIBAGH,2719,176,327
Gujarat,VALSAD,2713,80,198
Odisha,BHADRAK,2708,438,450
Haryana,REWARI,2703,287,311
Madhya Pradesh,Damoh,2702,282,384
Himachal Pradesh,Kangra,2698,183,196
Rajasthan,Jodhpur Rural,2693,374,346
Jharkhand,GARHWA,2688,241,241
Maharashtra,MUMBAI RLY.,2684,52,581
Rajasthan,Dungarpur,2678,464,478
Uttar Pradesh,BARABANKI,2677,202,304
Odisha,Rourkela,2670,401,580
Karnataka,UDUPI,2667,169,206
Madhya Pradesh,Anuppur,2666,312,373
Madhya Pradesh,SIDHI,2653,253,297
Haryana,KURUKSHETRA,2635,266,220
Gujarat,Panchmahal,2634,158,177
Madhya Pradesh,SEONI,2632,252,314
Madhya Pradesh,DAMOH,2630,281,305
Assam,Goalpara,2623,604,597
Uttar Pradesh,AZAMGARH,2621,250,457
Uttar Pradesh,BADAUN,2607,272,629
West Bengal,DAKSHIN DINAJPUR,2606,481,426
Maharashtra,Raigad,2601,217,313
Goa,NORTH GOA,2595,204,283
Maharashtra,RAIGAD,2595,263,292
Odisha,Cuttack,2594,151,349
Gujarat,Dahod,2594,188,279
Rajasthan,JALORE,2593,308,233
Bihar,Khagaria,2589,52,313
Jharkhand,Garhwa,2582,139,511
Haryana,Kurukshetra,2581,207,228
Odisha,Ganjam,2580,637,1060
Odisha,KEONJHAR,2579,602,723
Maharashtra,Washim,2579,340,398
Chhattisgarh,Balodbazar,2578,181,324
Chhattisgarh,Korba,2572,212,282
Rajasthan,RAJSAMAND,2571,393,244
Odisha,Keonjhar,2571,486,746
Karnataka,BIJAPUR,2569,216,306
Uttar Pradesh,Fatehpur,2559,295,431
Assam,Morigaon,2557,765,708
Rajasthan,Kota Rural,2557,519,382
Jharkhand,Palamu,2556,120,381
Haryana,YAMUNANAGAR,2541,298,456
Madhya Pradesh,ASHOK NAGAR,2534,259,309
Jammu & Kashmir,Srinagar,2533,337,381
Madhya Pradesh,NEEMUCH,2525,208,227
Madhya Pradesh,SHAJAPUR,2523,203,244
Maharashtra,WASHIM,2513,353,308
Uttar Pradesh,ETAH,2506,288,533
Uttarakhand,Haridwar,2505,172,649
Bihar,Banka,2505,112,330
Madhya Pradesh,JHABUA,2498,119,259
Gujarat,Junagadh,2497,360,191
Karnataka,Udupi,2496,200,247
West Bengal,BANKURA,2494,397,297
West Bengal,BDN CP,2491,335,198
Tamil Nadu,Tiruppur City,2490,34,150
Bihar,KHAGARIA,2483,51,260
Gujarat,Surendranagar,2476,147,207
Uttar Pradesh,Barabanki,2471,147,280
Uttar Pradesh,Mainpuri,2469,203,467
Chhattisgarh,Mahasamund,2469,185,279
Assam,DARRANG,2459,712,532
Jharkhand,Ranchi,2447,139,397
Karnataka,DHARWAD COMMR.,2443,147,293
Uttar Pradesh,MAINPURI,2432,244,481
Haryana,Fatehabad,2431,246,177
Andhra Pradesh,Rajahmundry,2430,376,225
Haryana,MEWAT,2427,329,278
Bihar,Madhepura,2426,76,304
Uttar Pradesh,Faizabad,2426,149,346
Uttarakhand,UDHAMSINGH NAGAR,2426,258,411
Uttar Pradesh,Sultanpur,2421,202,436
Delhi UT,New Delhi,2421,111,199
West Bengal,Darjeeling,2418,374,304
Haryana,Mewat,2414,283,389
Assam,KARIMGANJ,2411,328,240
Odisha,ROURKELA,2410,259,437
Punjab,SAS Nagar,2408,195,317
Rajasthan,KOTA RURAL,2408,458,360
Odisha,CUTTACK,2407,114,249
Karnataka,Chikkaballapura,2405,186,279
Uttar Pradesh,AMROHA,2401,267,388
Chhattisgarh,MAHASAMUND,2396,220,315
Karnataka,Belagavi City,2396,190,278
Jharkhand,DEOGHAR,2394,402,322
Uttar Pradesh,BAHRAICH,2389,122,375
Rajasthan,DUNGARPUR,2380,366,345
Odisha,Bolangir,2379,343,565
West Bengal,Dakshin Dinajpur,2372,489,533
Karnataka,CBPURA,2372,158,230
Uttar Pradesh,Jaunpur,2352,208,452
Odisha,Jagatsinghpur,2345,394,507
Rajasthan,Sirohi,2342,410,293
Uttar Pradesh,GONDA,2342,122,363
Karnataka,BAGALKOT,2340,167,251
Gujarat,Morbi,2332,122,118
Odisha,GANJAM,2326,586,992
Odisha,JAGATSINGHPUR,2324,367,518
Assam,GOALPARA,2322,495,478
Telangana,Ranga Reddy,2309,354,307
Delhi UT,Metro,2309,32,46
Jharkhand,Deoghar,2300,212,252
Odisha,Khurda,2291,222,410
Uttar Pradesh,SULTANPUR,2284,242,388
Uttar Pradesh,SAMBHAL,2284,254,498
Chhattisgarh,BALODA BAZAR,2284,222,360
Odisha,KENDRAPARA,2282,124,387
Assam,LAKHIMPUR,2281,417,312
Uttar Pradesh,Hathras,2280,309,525
Uttarakhand,DEHRADUN,2279,298,489
Karnataka,KOLAR,2275,73,198
Gujarat,Kachchh West(B),2269,251,126
Bihar,Bhabhua,2267,68,288
Madhya Pradesh,DATIYA,2267,147,237
Haryana,Mahendergarh,2262,202,260
Madhya Pradesh,BARWANI,2260,160,238
Maharashtra,BHANDARA,2257,207,205
Haryana,AMBALA URBAN,2255,261,285
Andhra Pradesh,RAJAHMUNDRY,2251,360,146
Uttar Pradesh,Bahraich,2249,164,446
Odisha,Kendrapara,2244,470,407
Uttar Pradesh,ETAWAH,2242,145,325
Tamil Nadu,Karur,2241,31,92
Uttar Pradesh,FATEHPUR,2234,248,398
Uttarakhand,Udhamsingh Nagar,2234,197,326
Gujarat,AMRELI,2229,186,145
Jharkhand,PALAMU,2228,102,316
Madhya Pradesh,Mandla,2220,246,363
Uttar Pradesh,JAUNPUR,2218,265,435
Chhattisgarh,KORBA,2214,207,275
Karnataka,Haveri,2201,191,251
Bihar,MUNGER,2195,91,208
Andhra Pradesh,RANGA REDDY,2191,311,280
Karnataka,Kolar,2188,128,266
Maharashtra,Solapur Commr.,2186,153,310
Uttarakhand,Dehradun,2178,295,305
Madhya Pradesh,Umaria,2172,250,282
Maharashtra,SOLAPUR COMMR.,2166,177,347
Karnataka,HAVERI,2157,154,184
Uttar Pradesh,Fatehgarh,2151,217,376
Uttar Pradesh,FAIZABAD,2150,133,363
Rajasthan,SIROHI,2148,377,291
Odisha,DHENKANAL,2131,528,747
Karnataka,Bagalkot,2131,176,252
Assam,Nalbari,2122,83,334
Gujarat,KUTCH (WEST-BHUJ),2121,257,151
Gujarat,Patan,2117,215,200
Punjab,Bathinda,2117,212,308
Uttar Pradesh,Kanpur Dehat,2111,294,391
Uttar Pradesh,Kannauj,2103,240,322
Haryana,Jhajjar,2100,260,287
Punjab,BHATINDA,2096,204,266
Uttar Pradesh,HATHRAS,2094,207,399
Uttar Pradesh,Sambhal,2087,252,492
Karnataka,Dakshina Kannada,2087,147,203
Uttar Pradesh,RAIBAREILLY,2085,204,353
Punjab,SANGRUR,2078,180,261
Madhya Pradesh,Bhopal Railway,2067,27,76
Bihar,BANKA,2065,132,259
Madhya Pradesh,Panna,2063,173,329
Uttar Pradesh,BANDA,2055,359,475
Uttar Pradesh,Raibareilly,2053,182,359
Karnataka,DAKSHIN KANNADA,2050,133,179
Assam,NALBARI,2050,309,294
Odisha,Kalahandi,2039,467,647
Bihar,BAGAHA,2039,101,157
Uttar Pradesh,KANPUR DEHAT,2031,173,245
Haryana,JHAJJAR,2028,208,225
Uttar Pradesh,Gonda,2021,133,356
Punjab,CP Jalandhar,2020,235,305
Madhya Pradesh,Harda,2016,164,243
Tamil Nadu,KARUR,2013,28,92
Odisha,BOLANGIR,2008,206,359
Maharashtra,Bhandara,2003,158,190
Odisha,Dhenkanal,2000,515,808
Punjab,CP Amritsar,1998,234,277
Tamil Nadu,ARIYALUR,1991,44,129
Madhya Pradesh,DINDORI,1990,257,261
Uttar Pradesh,KUSHI NAGAR,1988,176,363
Uttar Pradesh,Jhansi,1985,265,392
Odisha,BERHAMPUR,1985,315,497
Odisha,KHURDA,1982,290,419
Bihar,Kishanganj,1982,183,280
Haryana,Ambala (Urban),1977,174,273
Bihar,JEHANABAD,1976,106,127
Haryana,FATEHABAD,1974,296,185
Uttar Pradesh,RAMPUR,1970,210,339
Bihar,Jehanabad,1968,88,186
Haryana,MAHENDRAGARH,1960,250,269
Madhya Pradesh,Burhanpur,1958,194,209
Himachal Pradesh,Shimla,1957,140,184
Madhya Pradesh,BHOPAL RLY.,1953,26,66
Uttar Pradesh,Rampur,1950,227,355
Uttar Pradesh,Banda,1948,391,554
Uttar Pradesh,Ghazipur,1945,191,412
Uttar Pradesh,Kaushambi,1945,247,303
West Bengal,DARJEELING,1943,244,207
Bihar,JAMUI,1942,149,361
Assam,Hailakandi,1940,313,235
Himachal Pradesh,Mandi,1939,213,216
Jharkhand,SAHEBGANJ,1938,267,356
Karnataka,Hubballi Dharwad City,1936,101,220
Punjab,Sangrur,1935,203,265
Uttar Pradesh,JHANSI,1923,202,326
Haryana,Kaithal,1922,217,308
Madhya Pradesh,MANDLA,1906,251,254
Punjab,CP JALANDHAR,1894,306,257
Maharashtra,GONDIA,1887,212,229
Karnataka,Koppal,1883,116,148
Uttar Pradesh,DEORIA,1882,195,440
Assam,MORIGAON,1879,400,302
Karnataka,CHAMARAJNAGAR,1866,140,238
Madhya Pradesh,ANUPPUR,1860,306,309
Bihar,Bagaha,1860,115,167
Bihar,BHABHUA,1860,92,190
Uttar Pradesh,Baghpat,1844,235,484
Uttar Pradesh,Hapur,1841,194,346
Uttar Pradesh,HAPUR,1839,183,398
Maharashtra,Gondia,1836,226,275
Chhattisgarh,Sarguja,1835,197,313
Uttar Pradesh,BAGHPAT,1831,199,467
Himachal Pradesh,MANDI,1831,152,169
Madhya Pradesh,PANNA,1828,175,195
Bihar,KISHANGANJ,1828,124,251
Karnataka,Kodagu,1824,131,198
Gujarat,Amreli,1818,168,170
Odisha,Baragarh,1817,266,463
Jharkhand,DUMKA,1817,139,242
Delhi UT,RAILWAY,1816,21,135
Jammu & Kashmir,RAJOURI,1814,150,181
Haryana,KAITHAL,1805,226,239
Jharkhand,GODDA,1800,52,181
West Bengal,Purulia,1800,407,433
Uttar Pradesh,BALLIA,1790,153,369
Haryana,PANCHKULA,1790,149,262
Assam,Bongaigaon,1789,221,145
Uttar Pradesh,Auraiya,1789,279,283
Bihar,Munger,1778,72,169
Tamil Nadu,Perambalur,1770,47,85
Maharashtra,Nagpur Railway,1768,23,114
Maharashtra,Hingoli,1761,191,210
Uttar Pradesh,Kushi Nagar,1757,156,300
Chhattisgarh,SARGUJA,1757,225,279
Uttar Pradesh,FATEHGARH,1754,127,315
Chhattisgarh,Surajpur,1753,168,275
Jammu & Kashmir,Rajouri,1751,192,220
Gujarat,NAVSARI,1737,111,102
Jharkhand,KODERMA,1736,94,171
Odisha,KALAHANDI,1735,358,399
Bihar,Naugachia,1732,111,128
Karnataka,KOPPAL,1732,120,121
Gujarat,Navsari,1730,103,117
Bihar,Lakhisarai,1728,111,314
Goa,SOUTH GOA,1717,138,207
Jharkhand,Godda,1710,94,154
Odisha,Berhampur,1709,334,459
Chhattisgarh,Koriya,1707,194,291
Karnataka,KODAGU,1707,111,173
Bihar,Jamui,1699,101,395
Odisha,Nabarangpur,1695,373,440
Uttar Pradesh,Ballia,1674,213,308
Uttar Pradesh,Shamli,1674,195,403
Punjab,HOSHIARPUR,1667,249,248
Uttar Pradesh,AMETHI,1666,172,381
Odisha,Sundargarh,1655,240,319
Madhya Pradesh,Agar,1652,138,143
Himachal Pradesh,SHIMLA,1652,135,173
Punjab,CP AMRITSAR,1652,191,229
Tripura,West,1650,434,338
Chhattisgarh,SURAJPUR,1646,216,261
Chhattisgarh,Bemetra,1645,119,163
Uttar Pradesh,Deoria,1645,140,338
Chhattisgarh,KORIYA,1641,213,273
Punjab,Hoshiarpur,1637,186,229
Madhya Pradesh,BURHANPUR,1636,182,178
Tripura,WEST,1635,348,236
Uttar Pradesh,GHAZIPUR,1626,185,351
Tamil Nadu,Thirunelveli City,1623,28,214
Tamil Nadu,Ariyalur,1615,38,106
West Bengal,PURULIA,1613,298,301
Karnataka,Chamarajnagar,1607,124,198
Uttar Pradesh,KAUSHAMBI,1600,224,285
Karnataka,K.G.F.,1599,114,233
Haryana,Panchkula,1594,147,318
Jharkhand,Dumka,1592,118,186
Odisha,BARAGARH,1587,295,413
Chhattisgarh,Jagdalpur,1580,95,202
Punjab,JALANDHAR RURAL,1579,171,225
Madhya Pradesh,UMARIYA,1579,181,181
Madhya Pradesh,Sheopur,1578,126,159
Maharashtra,NAGPUR RLY.,1577,21,104
Odisha,SUNDARGARH,1576,177,328
Chhattisgarh,Kabirdham,1573,145,241
Maharashtra,RATNAGIRI,1568,174,202
Maharashtra,Ratnagiri,1568,129,181
Assam,BONGAIGAON,1565,181,229
Bihar,NAUGACHIA,1564,114,152
Maharashtra,NANDURBAR,1558,156,155
Goa,South Goa,1549,130,207
Gujarat,DAHOD,1544,30,232
Odisha,NOWRANGPUR,1542,259,318
Tamil Nadu,THIRUNELVELI URBAN,1525,34,211
Jharkhand,Sahebganj,1522,186,288
Uttar Pradesh,Amethi,1522,167,340
Odisha,NAYAGARH,1520,81,355
Uttar Pradesh,KANNAUJ,1508,141,223
Karnataka,Yadgiri,1496,239,298
Uttar Pradesh,MAU,1495,185,281
Punjab,AMRITSAR RURAL,1491,148,274
Karnataka,YADGIRI,1489,203,242
Jharkhand,Ramgarh,1488,115,242
Odisha,Nayagarh,1487,92,317
Chhattisgarh,BEMETARA,1485,111,155
Chhattisgarh,Balod,1479,126,156
Rajasthan,Jaisalmer,1478,157,169
Uttar Pradesh,Mau,1476,174,299
Delhi UT,NEW DELHI,1458,128,188
Jammu & Kashmir,BARAMULLA,1457,185,286
Odisha,KORAPUT,1456,265,406
Assam,Udalguri,1453,159,239
Chhattisgarh,JAGDALPUR,1448,102,199
Assam,KOKRAJHAR,1448,205,247
Rajasthan,JAISALMER,1434,146,140
Odisha,Jharsuguda,1431,214,323
Jammu & Kashmir,ANANTNAG,1426,178,269
Maharashtra,Nandurbar,1425,114,161
Assam,Kokrajhar,1419,167,291
Manipur,Imphal West,1417,78,202
Assam,HAILAKANDI,1414,238,180
Uttar Pradesh,SHAMLI,1410,163,387
Madhya Pradesh,SHEOPUR,1409,124,121
Gujarat,Gir Somnath,1405,175,129
Maharashtra,HINGOLI,1400,162,144
Assam,DHEMAJI,1397,205,293
Punjab,Amritsar Rural,1396,168,328
Chhattisgarh,KABIRDHAM,1383,119,169
Uttar Pradesh,MAHARAJGANJ,1369,149,261
Uttar Pradesh,Chandoli,1366,251,261
Manipur,IMPHAL WEST,1366,69,211
Odisha,Koraput,1357,301,490
Jharkhand,Koderma,1344,70,109
Uttar Pradesh,KASGANJ,1339,111,282
Uttar Pradesh,AMBEDKAR NAGAR,1339,52,168
Chhattisgarh,Balrampur,1333,218,276
Meghalaya,Khasi Hills East,1327,120,189
Bihar,LAKHISARAI,1326,90,209
Bihar,Sheikhpura,1325,101,115
Uttar Pradesh,Ambedkar Nagar,1323,88,167
Uttar Pradesh,AURAIYA,1316,150,216
Rajasthan,G.R.P.Ajmer,1313,11,45
Jammu & Kashmir,Anantnag,1307,151,231
Punjab,Ferozepur,1300,134,178
Tamil Nadu,PERAMBALUR,1300,27,62
Chhattisgarh,Dhamtari,1300,103,145
Jammu & Kashmir,Kathua,1289,98,133
Jharkhand,Chatra,1284,131,151
Chhattisgarh,JASHPUR,1273,171,288
Punjab,KAPURTHALA,1267,139,176
Jharkhand,JAMTARA,1255,200,110
Chhattisgarh,Kanker,1253,109,219
Karnataka,DHARWAD RURAL,1238,80,140
Punjab,FEROZPUR,1233,76,140
Uttar Pradesh,Kasganj,1232,127,278
Chhattisgarh,Jashpur,1225,145,297
Andhra Pradesh,Vijayawada Railway,1223,17,21
Karnataka,Dharwad,1219,73,124
Chhattisgarh,MUNGELI,1219,97,168
Jammu & Kashmir,BUDGAM,1218,52,141
Bihar,Patna Railway,1216,19,75
Chhattisgarh,BALOD,1215,103,148
Odisha,JHARSUGUDA,1214,174,205
Jharkhand,RAMGARH,1213,102,191
Madhya Pradesh,AGAR,1209,97,127
Tamil Nadu,NILGIRIS,1203,35,74
Jharkhand,Gumla,1200,107,378
Odisha,Rayagada,1199,287,348
Tamil Nadu,Nilgiris,1199,24,47
Chhattisgarh,DHAMTARI,1189,104,157
Himachal Pradesh,Bilaspur,1185,112,146
Jammu & Kashmir,KATHUA,1178,93,103
Odisha,Nuapada,1175,262,299
Madhya Pradesh,ALIRAJPUR,1175,62,152
Punjab,Moga,1172,97,172
Punjab,Tarn Taran,1171,134,216
Odisha,RAYAGADA,1163,275,410
Uttar Pradesh,BASTI,1162,132,219
Uttar Pradesh,Maharajganj,1162,155,227
Madhya Pradesh,Alirajpur,1161,42,132
Madhya Pradesh,Jabalpur Railway,1159,27,83
Jammu & Kashmir,Udhampur,1157,84,98
Punjab,Jalandhar Rural,1154,102,191
Haryana,GRP,1150,74,70
Gujarat,Chhotaudepur,1144,47,108
Jammu & Kashmir,UDHAMPUR,1140,83,84
Haryana,G. R. P.,1139,27,86
Jharkhand,PAKUR,1139,207,152
Punjab,Khanna,1132,98,162
Chhattisgarh,KANKER,1132,111,208
Himachal Pradesh,BILASPUR,1131,100,113
Meghalaya,KHASI HILLS EAST,1127,100,211
Punjab,Ropar,1122,114,150
Bihar,SHEIKHPURA,1116,65,167
Chhattisgarh,BALRAMPUR,1115,176,215
Assam,UDALGURI,1113,148,230
Haryana,AMBALA RURAL,1110,131,153
Jammu & Kashmir,Baramulla,1110,122,187
Karnataka,Gadag,1109,70,104
Jharkhand,Saraikela,1108,92,190
Gujarat,Devbhumi Dwarka,1106,148,62
Bihar,PATNA RLY.,1105,18,86
Punjab,Kapurthala,1105,124,170
Madhya Pradesh,HARDA,1100,103,124
Haryana,Ambala (Rural),1098,103,137
Uttarakhand,Nainital,1095,110,289
Karnataka,GADAG,1092,95,133
Odisha,Kandhamal,1089,223,284
Uttar Pradesh,CHANDOLI,1083,105,221
Himachal Pradesh,Una,1083,118,85
Punjab,Ludhiana Rural,1081,69,137
Odisha,NUAPADA,1080,188,289
Himachal Pradesh,UNA,1076,118,102
Punjab,TARN TARAN,1076,118,197
Assam,Dhemaji,1068,211,223
Jharkhand,CHATRA,1062,70,139
Jharkhand,CHAIBASA,1061,168,342
Mizoram,Aizawl,1059,102,131
Jharkhand,SARAIKELA,1057,91,215
Tripura,GOMATI,1049,248,143
Punjab,MOGA,1044,80,167
Gujarat,Mahisagar,1040,121,85
Uttar Pradesh,HAMIRPUR,1040,187,352
Maharashtra,GADCHIROLI,1033,106,205
Jharkhand,Jamtara,1032,138,159
Jammu & Kashmir,Budgam,1026,48,128
Punjab,ROPAR,1016,90,155
Himachal Pradesh,KULLU,1009,105,120
Madhya Pradesh,JABALPUR RLY.,1005,17,40
Bihar,Arwal,991,21,105
Uttar Pradesh,Chitrakoot,988,114,183
Gujarat,Tapi,986,133,57
Uttar Pradesh,Hamirpur,981,195,288
Uttar Pradesh,JALAUN,978,114,193
Punjab,KHANNA,971,77,132
Uttar Pradesh,Lalitpur,962,94,155
Delhi UT,METRO RAIL,962,31,28
Assam,Karbi Anglong,960,91,214
Jharkhand,Chaibasa,954,97,316
Chhattisgarh,Gariyaband,948,93,122
Karnataka,K.Railways,948,13,132
Himachal Pradesh,Solan,947,59,78
Tripura,SIPAHIJALA,943,219,144
Jammu & Kashmir,KULGAM,941,167,280
Chhattisgarh,Mungali,938,83,119
Jharkhand,GUMLA,929,92,355
Punjab,Fatehgarh Sahib,920,80,109
Himachal Pradesh,Kullu,914,72,88
Gujarat,Porbandar,913,121,74
Karnataka,RAILWAYS,913,6,101
Odisha,KANDHAMAL,909,191,252
Bihar,ARWAL,909,54,66
Odisha,Deogarh,901,103,167
Himachal Pradesh,SOLAN,885,53,62
Punjab,GURDASPUR,884,112,146
Punjab,Fazilka,877,133,143
Maharashtra,Gadchiroli,875,72,185
Jammu & Kashmir,DODA,874,120,132
Himachal Pradesh,HAMIRPUR,873,86,67
Himachal Pradesh,Sirmaur,872,100,105
Chhattisgarh,GARIYABAND,866,76,113
Punjab,Batala,865,106,168
Punjab,LUDHIANA RURAL,864,58,123
Rajasthan,G.R.P.AJMER,864,13,35
Assam,Chirang,863,129,186
Punjab,FAZILKA,863,89,128
Telangana,Secunderabad Railway,860,7,17
Jharkhand,Latehar,859,50,129
Jammu & Kashmir,Kulgam,856,191,247
Uttar Pradesh,Jalaun,856,127,208
Assam,Baska,853,134,174
Andhra Pradesh,SECUNDERABAD RLY.,849,11,23
Himachal Pradesh,Hamirpur,845,86,79
Mizoram,AIZAWL,844,79,94
Uttarakhand,NAINITAL,842,100,208
Jammu & Kashmir,Poonch,842,88,115
Maharashtra,SINDHUDURG,841,85,104
Jharkhand,Pakur,839,159,137
Gujarat,PORBANDAR,838,91,52
Uttar Pradesh,MAHOBA,838,133,209
Uttar Pradesh,SHRAWASTI,835,92,183
Punjab,BATALA,826,93,150
Tripura,Gomati,825,227,131
Gujarat,TAPI,822,33,62
Himachal Pradesh,SIRMAUR,814,92,93
Uttar Pradesh,Mahoba,814,121,224
Punjab,FATEHGARH SAHIB,811,78,82
Uttar Pradesh,CHITRAKOOT DHAM,807,79,127
Jammu & Kashmir,POONCH,806,83,123
Punjab,MUKTSAR,804,81,141
West Bengal,Jhargram Police District,803,199,169
Uttar Pradesh,Shrawasti,801,45,115
Punjab,Mansa,793,90,109
Punjab,Barnala,791,75,133
Jammu & Kashmir,KUPWARA,790,90,152
Maharashtra,Sindhudurg,789,65,103
Uttar Pradesh,MIRZAPUR,786,59,57
Gujarat,Botad,783,61,80
Chhattisgarh,Kondagaon,782,46,114
Punjab,Gurdaspur,781,112,124
Punjab,Muktsar,781,81,134
Uttar Pradesh,Mirzapur,780,83,84
Uttar Pradesh,SONBHADRA,779,79,128
Bihar,Sheohar,778,44,119
Jammu & Kashmir,SAMBA,777,48,65
Uttar Pradesh,Sidharthnagar,773,113,161
Andhra Pradesh,VIJAYAWADA RLY.,773,14,28
Punjab,BARNALA,771,47,112
Bihar,SHEOHAR,769,29,118
Manipur,Thoubal,768,70,178
Assam,BAKSA,768,62,142
Assam,CHIRANG,763,130,166
Himachal Pradesh,Chamba,761,60,85
Delhi UT,GRP(RLY),760,16,69
Uttar Pradesh,SIDHARTHNAGAR,758,84,143
Uttar Pradesh,Sonbhadra,753,69,122
Jammu & Kashmir,Reasi,753,53,74
Uttar Pradesh,Basti,752,97,161
Uttar Pradesh,SANT KABIRNAGAR,744,53,161
Jammu & Kashmir,RAMBAN,737,49,76
Gujarat,NARMADA,727,32,63
Uttar Pradesh,Sant Kabirnagar,727,59,142
Tripura,Sipahijala,725,182,145
Tripura,SOUTH,725,168,127
Odisha,Sonepur,724,97,145
Punjab,FARIDKOT,724,73,115
Jammu & Kashmir,Kupwara,710,89,143
Odisha,BOUDH,706,196,248
Jammu & Kashmir,REASI,704,40,54
Jharkhand,LATEHAR,698,67,160
Uttar Pradesh,LALITPUR,696,89,142
Himachal Pradesh,CHAMBA,694,58,72
West Bengal,JHARGRAM,680,122,138
Tripura,South,678,165,120
Maharashtra,Pune Railway,676,8,83
Jammu & Kashmir,Ramban,674,59,66
Punjab,Faridkot,673,57,132
Punjab,SBS NAGAR,671,67,88
Puducherry,Karaikal,671,17,25
Jammu & Kashmir,Doda,667,105,126
Gujarat,Narmada,664,44,59
Arunachal Pradesh,Papum Pare City,661,80,140
