STATE_UT,DISTRICT,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME
Chhattisgarh,Raipur,8306,468,856
Bihar,MOTIHARI,8255,305,1272
Rajasthan,UDAIPUR,8212,1111,1057
Tamil Nadu,Madurai,8212,457,739
Delhi UT,North,8201,381,948
Uttar Pradesh,GAUTAMBUDH NAGAR,8199,376,809
Andhra Pradesh,Nellore,8175,934,757
Uttar Pradesh,ALIGARH,8129,927,1483
Andhra Pradesh,MAHABOOBNAGAR,8092,701,743
West Bengal,Barrackpur PC,8087,1506,949
Tamil Nadu,Kanchipuram,8066,46,215
Madhya Pradesh,SAGAR,8016,763,787
Tamil Nadu,KANCHIPURAM,7977,60,260
Madhya Pradesh,UJJAIN,7970,602,642
Maharashtra,AHMEDNAGAR,7934,789,1013
Kerala,Kollam Rural,7910,606,441
Rajasthan,JAIPUR EAST,7878,428,475
Andhra Pradesh,Vijayawada City,7876,1207,505
Tamil Nadu,MADURAI RURAL,7855,390,697
Bihar,GAYA,7816,294,628
Kerala,KOLLAM COMMR.,7790,584,409
Andhra Pradesh,Visakhapatnam,7728,727,506
West Bengal,Burdwan,7694,1118,1292
Madhya Pradesh,Sagar,7674,751,906
Andhra Pradesh,NIZAMABAD,7662,1235,453
Andhra Pradesh,East Godavari,7630,1137,847
Andhra Pradesh,KURNOOL,7595,813,813
Madhya Pradesh,Satna,7539,611,1095
Telangana,Mahaboob Nagar,7533,697,857
Gujarat,MEHSANA,7496,369,299
Madhya Pradesh,Dhar,7479,498,899
Maharashtra,THANE RURAL,7477,704,1176
Gujarat,Gandhinagar,7451,193,211
Madhya Pradesh,Dewas,7426,499,559
Assam,NAGAON,7393,1439,1118
Rajasthan,Bhilwara,7353,1200,440
Andhra Pradesh,NELLORE,7326,892,640
Kerala,KOLLAM RURAL,7257,635,466
Rajasthan,Jaipur West,7238,559,557
Bihar,Gaya,7232,309,630
West Bengal,JALPAIGURI,7161,1219,1063
Assam,Dhubri,7153,1582,1052
Andhra Pradesh,Krishna,7078,1287,589
Uttar Pradesh,KANPUR NAGAR,7060,446,724
Andhra Pradesh,MEDAK,7054,807,505
Telangana,Nizamabad,7053,1027,476
Andhra Pradesh,CUDDAPAH,7048,716,639
Andhra Pradesh,GUNTUR,7026,1093,618
West Bengal,UTTAR DINAJPUR,6998,1106,911
Rajasthan,Sikar,6994,558,459
Maharashtra,Ahmednagar,6957,657,1000
Maharashtra,Amravati Rural,6948,756,761
Rajasthan,SIKAR,6941,533,436
Gujarat,GANDHINAGAR,6933,259,182
West Bengal,HOOGHLY,6931,1149,572
