YEAR,RAPE,CUSTODIAL_RAPE,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS
2013,33707,1,8083,70739,12589,118866,31
2014,38678,199,8458,82411,9738,123163,14
