YEAR,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME
2013,2647722,244015,278371,679179,126957,81483
2014,2858939,262462,321371,785655,129826,75505
