,0
CRUELTY_WOMEN,242029
ASSAULT_WOMEN,153150
RAPE,72385
INSULT_WOMEN,22327
DOWRY_DEATHS,16541
CUSTODIAL_RAPE,200
IMPORTATION_GIRLS,45
