STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,HURT,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,RAPE_SHARE,KIDNAPPING_SHARE,SOURCE_DATASET
Gujarat,KUTCH (WEST-BHUJ),2013,20,20,0,28,0,35,5,14,114,252,81,60,26,5,11,201,0,29,0,200,0,1,1097,2121,257,151,466,31,71,0.12116925978312117,0.07119283356907119,0.2197076850542197,0.013201320132013201,0.0165016501650165,DATASET_02_2013
Gujarat,MEHSANA,2013,23,18,0,11,0,139,16,55,176,551,246,83,40,51,8,407,0,37,0,321,0,181,5375,7496,369,299,1044,91,91,0.04922625400213447,0.03988794023479189,0.13927427961579508,0.0014674493062966916,0.01854322305229456,DATASET_02_2013
Gujarat,NARMADA,2013,14,2,0,7,0,24,0,1,26,50,31,12,8,5,3,89,0,15,0,10,0,77,383,727,32,63,108,13,15,0.04401650618982118,0.08665749656121045,0.1485557083906465,0.009628610729023384,0.033012379642365884,DATASET_02_2013
Gujarat,NAVSARI,2013,14,11,0,9,0,39,8,8,108,272,165,17,56,18,1,103,0,13,1,88,0,0,967,1737,111,102,561,74,18,0.06390328151986183,0.05872193436960276,0.3229706390328152,0.0051813471502590676,0.022452504317789293,DATASET_02_2013
Gujarat,PALANPUR,2013,38,46,0,62,0,104,19,63,222,474,240,76,27,74,18,549,0,96,3,377,0,279,2948,5480,538,428,1018,101,94,0.09817518248175182,0.0781021897810219,0.18576642335766425,0.011313868613138687,0.01897810218978102,DATASET_02_2013
Gujarat,PANCHMAHAL,2013,59,15,2,16,0,96,18,8,132,257,171,48,18,26,23,318,0,46,0,217,0,316,1944,3563,279,260,586,44,71,0.07830479932641032,0.07297221442604547,0.1644681448217794,0.004490597810833568,0.026943586865001402,DATASET_02_2013
Gujarat,PATAN,2013,14,9,0,19,0,74,17,33,92,283,133,63,27,24,11,340,0,47,1,174,0,133,2306,3677,241,213,558,51,74,0.06554256187109056,0.05792765841718792,0.151754147402774,0.005167255915148218,0.020125101985314114,DATASET_02_2013
Gujarat,PORBANDAR,2013,12,6,0,6,0,16,1,5,24,65,26,21,12,10,5,86,0,6,0,79,0,41,441,838,91,52,121,22,26,0.10859188544152745,0.06205250596658711,0.14439140811455847,0.007159904534606206,0.01909307875894988,DATASET_02_2013
Gujarat,RAJKOT COMMR.,2013,36,26,3,14,0,63,4,41,252,853,633,69,93,24,21,386,1,18,4,254,0,119,1284,3572,291,205,1783,117,90,0.0814669652855543,0.05739081746920493,0.49916013437849943,0.003919372900335946,0.017637178051511757,DATASET_02_2013
Gujarat,RAJKOT RURAL,2013,43,9,3,30,0,83,6,31,163,388,224,76,87,6,10,342,1,41,2,404,0,359,2595,4683,478,246,812,93,86,0.10207132180226351,0.05253042921204356,0.17339312406576982,0.0064061499039077515,0.017723681400811445,DATASET_02_2013
