K,WCSS_INERTIA,SILHOUETTE_SCORE,DAVIES_BOULDIN_INDEX,CALINSKI_HARABASZ_SCORE
2,77028.8323864749,0.4225044164662712,1.265837282849483,3875.472004754778
3,66990.82362061371,0.19257464078848988,1.697568620638555,2871.6995299056557
4,61501.261323564926,0.1805739894106007,1.7785602474194862,2340.7761581656764
5,56973.94564224008,0.18911371902747506,1.6097332918415632,2065.5523005747214
6,52810.55496842914,0.17430777207877393,1.6326996009124135,1917.9635004999127
7,49273.139688747746,0.15966046441780807,1.6347565146715948,1815.635339546122
8,46831.23768162675,0.1488012527951848,1.5727550549799911,1701.1896825417512
