RECORD_ID,STATE/UT,DISTRICT,YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED
ANDHRA_PRADESH_VISAKHAPATNAM_2001_1,ANDHRA PRADESH,VISAKHAPATNAM,2001,725,263,0.0037978381536663743,0.0037978381536663743,372,959,232,24,0.10867659947414549,0.28016359918200406,0.006427110721589249,0.001460706982179375,0.0
ANDHRA_PRADESH_VIZIANAGARAM_2001_1,ANDHRA PRADESH,VIZIANAGARAM,2001,199,177,0.0036714089031665903,0.0036714089031665903,615,245,54,48,0.2822395594309316,0.11243689765947683,0.015144561725562184,0.0009178522257916476,0.0
ANDHRA_PRADESH_WARANGAL_2001_1,ANDHRA PRADESH,WARANGAL,2001,592,592,0.008386075949367088,0.012816455696202532,2313,709,145,330,0.36598101265822786,0.11218354430379747,0.025,0.003639240506329114,0.0
ANDHRA_PRADESH_WEST_GODAVARI_2001_1,ANDHRA PRADESH,WEST GODAVARI,2001,767,711,0.010707389854309286,0.007196770229945585,1219,1395,335,128,0.21397226610496753,0.24486571879936808,0.013515885553800245,0.0026329647182727752,0.0
ARUNACHAL_PRADESH_CHANGLANG_2001_1,ARUNACHAL PRADESH,CHANGLANG,2001,7,7,0.006097560975609756,0.018292682926829267,47,49,7,1,0.2865853658536585,0.29878048780487804,0.06707317073170732,0.024390243902439025,0.0
ARUNACHAL_PRADESH_DIBANG_VALLEY_2001_1,ARUNACHAL PRADESH,DIBANG VALLEY,2001,12,12,0.014285714285714285,0.02857142857142857,40,44,3,0,0.2857142857142857,0.3142857142857143,0.02142857142857143,0.03571428571428571,0.0
ARUNACHAL_PRADESH_KAMENG_EAST_2001_1,ARUNACHAL PRADESH,KAMENG EAST,2001,14,14,0.015748031496062992,0.05511811023622047,46,41,2,1,0.36220472440944884,0.3228346456692913,0.023622047244094488,0.047244094488188976,0.0
ARUNACHAL_PRADESH_KAMENG_WEST_2001_1,ARUNACHAL PRADESH,KAMENG WEST,2001,2,2,0.0,0.019230769230769232,33,33,5,0,0.3173076923076923,0.3173076923076923,0.038461538461538464,0.0,0.0
ARUNACHAL_PRADESH_LOHIT_2001_1,ARUNACHAL PRADESH,LOHIT,2001,16,16,0.010471204188481676,0.031413612565445025,74,61,7,5,0.387434554973822,0.3193717277486911,0.08376963350785341,0.041884816753926704,0.0
ARUNACHAL_PRADESH_PAPUM_PARE_2001_1,ARUNACHAL PRADESH,PAPUM PARE,2001,33,33,0.018036072144288578,0.03006012024048096,141,201,22,10,0.28256513026052105,0.4028056112224449,0.022044088176352707,0.05811623246492986,0.0
ARUNACHAL_PRADESH_SIANG_EAST_2001_1,ARUNACHAL PRADESH,SIANG EAST,2001,25,25,0.020491803278688523,0.045081967213114756,74,89,8,2,0.30327868852459017,0.36475409836065575,0.028688524590163935,0.03278688524590164,0.0
ARUNACHAL_PRADESH_SIANG_UPPER_2001_1,ARUNACHAL PRADESH,SIANG UPPER,2001,10,10,0.03508771929824561,0.08771929824561403,18,14,1,3,0.3157894736842105,0.24561403508771928,0.017543859649122806,0.0,0.0
ARUNACHAL_PRADESH_SIANG_WEST_2001_1,ARUNACHAL PRADESH,SIANG WEST,2001,50,48,0.011049723756906077,0.04696132596685083,102,117,10,5,0.281767955801105,0.32320441988950277,0.013812154696132596,0.027624309392265192,0.0
ARUNACHAL_PRADESH_SUBANSIRI_LOWER_2001_1,ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,12,12,0.013422818791946308,0.040268456375838924,42,50,5,7,0.28187919463087246,0.33557046979865773,0.053691275167785234,0.04697986577181208,0.0
ARUNACHAL_PRADESH_SUBANSIRI_UPPER_2001_1,ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,13,13,0.014184397163120567,0.0070921985815602835,45,45,2,2,0.3191489361702128,0.3191489361702128,0.028368794326241134,0.03546099290780142,0.0
ARUNACHAL_PRADESH_TAWANG_2001_1,ARUNACHAL PRADESH,TAWANG,2001,7,6,0.02040816326530612,0.0,5,16,1,0,0.10204081632653061,0.32653061224489793,0.04081632653061224,0.0,0.0
ARUNACHAL_PRADESH_TIRAP_2001_1,ARUNACHAL PRADESH,TIRAP,2001,7,7,0.0078125,0.046875,46,37,2,1,0.359375,0.2890625,0.0625,0.015625,0.0
ASSAM_BARPETA_2001_1,ASSAM,BARPETA,2001,267,267,0.015739179314221474,0.05902192242833052,576,368,56,234,0.32377740303541314,0.20685778527262508,0.035975267003934795,0.025295109612141653,0.0
ASSAM_BONGAIGAON_2001_1,ASSAM,BONGAIGAON,2001,105,105,0.02466091245376079,0.04438964241676942,246,217,17,99,0.3033292231812577,0.2675709001233046,0.055487053020961775,0.030826140567200986,0.0
ASSAM_C.I.D._2001_1,ASSAM,C.I.D.,2001,0,0,0.0,0.0,0,1,5,0,0.0,0.1111111111111111,0.0,0.0,0.0
ASSAM_CACHAR_2001_1,ASSAM,CACHAR,2001,452,452,0.012994513427663876,0.03003176436615651,944,619,66,597,0.2725960150158822,0.1787467513716431,0.015015882183078255,0.012128212532486284,0.0
ASSAM_DARRANG_2001_1,ASSAM,DARRANG,2001,214,214,0.032989690721649485,0.04398625429553265,522,346,46,116,0.35876288659793815,0.23780068728522336,0.04192439862542955,0.01993127147766323,0.0
