,count,mean,std,min,25%,50%,75%,max
WOMEN_CRIME_TOTAL,8597.0,248.9819704548098,299.984601397387,0.0,68.0,172.0,321.0,4630.0
WOMEN_VIOLENCE,8597.0,234.44829591718042,283.84917541184456,0.0,63.0,162.0,305.0,4625.0
RAPE_RATE_PROXY,8597.0,0.013524063085657184,0.013398166989203953,0.0,0.004846526655896607,0.009850462853073819,0.01764234161988773,0.16129032258064516
KIDNAPPING_RATE_PROXY,8597.0,0.018222615726520893,0.017154947683920105,0.0,0.006011560693641618,0.012667135819845179,0.02532031726662599,0.1743119266055046
WOMEN_CRIME_SHARE,8597.0,0.09294361939155689,0.05732496997236454,0.0,0.05771365149833518,0.08410548823948681,0.1196808510638298,0.9946808510638298
VIOLENT_CRIME,8597.0,604.1879725485635,693.6412469088451,0.0,155.0,389.0,796.0,5838.0
SERIOUS_VIOLENT_CRIME,8597.0,121.8333139467256,125.09951931284171,0.0,46.0,92.0,159.0,1867.0
PROPERTY_CRIME,8597.0,572.9376526695359,986.1916995386488,0.0,148.0,324.0,643.0,16699.0
THEFT_SHARE,8597.0,0.14913412432262507,0.1354126451812315,0.0,0.07407407407407407,0.10737527114967461,0.16831683168316833,0.9090909090909091
BURGLARY_SHARE,8597.0,0.04984048130334012,0.036401804000791335,0.0,0.027258150721539285,0.043558282208588955,0.06487754038561751,0.5
ECONOMIC_OFFENCES,8597.0,113.79969756891938,212.95216232458705,0.0,19.0,55.0,127.0,3367.0
PUBLIC_ORDER_CRIME,8597.0,103.36524368965918,152.22432731889137,0.0,16.0,57.0,136.0,5168.0
VIOLENT_CRIME_SHARE,8597.0,0.2235485425389705,0.11496272613521281,0.0,0.13855421686746988,0.2130712008501594,0.29662162162162165,0.7162162162162162
PROPERTY_CRIME_SHARE,8597.0,0.21552988134444548,0.1445602258092432,0.0,0.12561634186428738,0.17306397306397306,0.25436392488759585,0.9307692307692308
MURDER_SHARE,8597.0,0.026483840032001826,0.028130534941671507,0.0,0.01064773735581189,0.01836228287841191,0.031910803537101115,0.3333333333333333
ROBBERY_SHARE,8597.0,0.012148047318967197,0.014141991173617988,0.0,0.004113345521023766,0.00842358604091456,0.015873015873015872,0.27844311377245506
YEAR_NORMALIZED,8597.0,0.5123034462338869,0.3149149464816583,0.0,0.2727272727272727,0.5454545454545454,0.8181818181818182,1.0
