RECORD_ID,STATE/UT,DISTRICT,YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,CLUSTER
ANDHRA_PRADESH_ADILABAD_2001_1,ANDHRA PRADESH,ADILABAD,2001,0.9059101797371724,0.8967270861366112,-0.1112432342304484,-0.4169078818969589,1.073747801187194,0.9162971813405424,0.3513148455598089,0.6541624633436921,0.5885640660871575,1.0450409409858867,-0.7467817107069925,-0.0773502535652393,-0.1612609263456642,1
ANDHRA_PRADESH_ANANTAPUR_2001_1,ANDHRA PRADESH,ANANTAPUR,2001,0.7617092681752565,0.7588209732660892,-0.5933736516707657,-0.3134697798737768,1.3036239685760145,1.1618362833423677,0.5449965921560246,0.4039913451782435,1.0754759741162,2.2804534179939013,-0.5168771611324319,0.3595358848027338,-0.5848314044510302,1
ANDHRA_PRADESH_CHITTOOR_2001_1,ANDHRA PRADESH,CHITTOOR,2001,0.921416603480564,0.8355299470701958,-0.6631211068773808,-0.471227710596726,1.4310347266994667,0.7225081701588826,0.9299225797846684,1.1563520405919745,0.951228763078892,1.670088611785873,-0.3283235511782836,-0.3244672287725911,-0.6889201231289559,1
ANDHRA_PRADESH_CUDDAPAH_2001_1,ANDHRA PRADESH,CUDDAPAH,2001,0.5661179841912676,0.5101898727594665,-0.5341835521620333,-0.5983092596026061,0.8949041782736642,0.5274739280202588,-0.0045337989781769,0.0637969591690014,0.9284347956255652,1.093490071375271,-0.883141963050302,-0.0360570233504487,-0.7690006251632345,1
ANDHRA_PRADESH_EAST_GODAVARI_2001_1,ANDHRA PRADESH,EAST GODAVARI,2001,0.9446983720679728,0.9028565559632156,-0.7456641118052519,-0.6233795094083286,1.1021209321403944,0.7273334030297196,1.239793411136723,1.2142956701453256,0.6054929354143809,0.0456416757176162,0.0896435173823821,-0.4935835932627858,-0.5874069947757956,1
ANDHRA_PRADESH_GUNTAKAL_RLY._2001_1,ANDHRA PRADESH,GUNTAKAL RLY.,2001,-2.762613180398607,-2.72698896464857,-1.0094552278904183,-1.0622985262834126,-2.365888566816753,-2.0033198190352897,-0.3658916723325485,-1.711880669870973,-1.9043475938955157,-1.703005472551138,2.568460773661274,-0.5711980928960204,-0.3679754482705865,0
ANDHRA_PRADESH_GUNTUR_2001_1,ANDHRA PRADESH,GUNTUR,2001,1.253286314040618,1.1751061619904726,-0.4959329320119972,-0.4532731548738459,1.4165712909256991,1.26477239791165,1.263292374675784,1.4333771043390442,1.19437266726536,0.6786814877559472,-0.1381066488473699,-0.1171810113684938,-0.3274952941251726,1
ANDHRA_PRADESH_HYDERABAD_CITY_2001_1,ANDHRA PRADESH,HYDERABAD CITY,2001,1.4334239207493762,1.4576310265522678,-0.7760430898827898,-0.668142938279517,1.6819696913732547,1.1761169940755258,1.9768673543077464,2.3528145046403823,0.2757541867775629,0.628583204459477,0.863485002536463,-0.6080046501180072,-0.4586210380569527,1
ANDHRA_PRADESH_KARIMNAGAR_2001_1,ANDHRA PRADESH,KARIMNAGAR,2001,1.3445690024011534,1.3233814963861703,-0.2902674554031458,-0.3902740995444221,1.272805145039269,1.1901608661540568,0.6688381654958436,1.2142956701453256,1.1160436700869265,0.9215885184372852,-0.6732960281243822,0.0493985003582249,-0.2506975791378044,1
ANDHRA_PRADESH_KHAMMAM_2001_1,ANDHRA PRADESH,KHAMMAM,2001,1.256678645754162,0.9283011446396244,-0.2439857573170531,-0.5407798550862001,1.0336362882625862,0.6879390406577157,0.5098374935601224,0.8879075285309241,1.045971148226641,0.6101945097370053,-0.6547711680096764,-0.2201101141330505,-0.6584659029563099,1
ANDHRA_PRADESH_KRISHNA_2001_1,ANDHRA PRADESH,KRISHNA,2001,1.100209250409719,1.059946793197359,-0.431686939834708,-0.6232520800976505,1.362599451031909,0.4837167220070652,0.6380854557355973,0.698131882606179,0.7126430114685002,2.0335915689551425,-0.5372728869813472,-0.4580880947863658,-0.6371447951450625,1
ANDHRA_PRADESH_KURNOOL_2001_1,ANDHRA PRADESH,KURNOOL,2001,0.8447383212119348,0.6933813352017261,-0.5370411983135609,-0.4643295741028154,1.2537647591716556,0.9612719663954769,0.403920662772238,0.7242589700345624,0.4691383850362786,1.5903837752040957,-0.7663143583630219,0.0903976338059172,-0.5195221645930731,1
ANDHRA_PRADESH_MAHABOOBNAGAR_2001_1,ANDHRA PRADESH,MAHABOOBNAGAR,2001,0.7995119941879522,0.7682033381771753,-0.0957947333436394,-0.5543284678679358,1.0105730318751216,1.114449036163391,0.5687736974922182,0.5633399789911371,0.8200397772921655,0.4033582752023825,-0.6298679243456267,0.2164597381965189,-0.4629311571135056,1
ANDHRA_PRADESH_MEDAK_2001_1,ANDHRA PRADESH,MEDAK,2001,0.8045059224085697,0.8027085763040032,-0.2700129455354727,-0.6332903468013322,1.1766810889391277,0.81847785622189,0.5151528139311501,0.5761604499824049,0.7356533121401179,2.1475443651585624,-0.3984069789383122,0.0747900792329134,-0.3386468691085019,1
ANDHRA_PRADESH_NALGONDA_2001_1,ANDHRA PRADESH,NALGONDA,2001,1.016139639068059,0.9819202417737898,-0.4872786171448591,-0.7476909888906595,1.1350209393545807,0.8849296665325497,0.4115748693592005,0.7689380619869761,1.2051045739360178,0.7730260205473676,-0.8203843307733141,-0.0746019695318957,-0.4632859889077493,1
ANDHRA_PRADESH_NELLORE_2001_1,ANDHRA PRADESH,NELLORE,2001,1.317304279584977,1.1544377264377768,-0.354955577306237,-0.0621831942361605,1.0578892490859542,0.7463640034043634,0.8518554399696732,0.9998095164011922,0.839465285620085,0.3685612919448291,-0.3305598453884155,-0.3383898242869613,-0.6433771301374338,1
ANDHRA_PRADESH_NIZAMABAD_2001_1,ANDHRA PRADESH,NIZAMABAD,2001,0.7563854866594321,0.7700642097907276,-0.5766916303929016,-0.4506935467970749,1.161408788370726,0.8010169061161957,0.3070625080263799,0.942385056705789,0.4110957257477902,1.958127770050648,-0.686921534074343,0.098893280593804,-0.4295299206256249,1
