state_name,district,STATE_UT,DISTRICT,YEAR,TARGET_YEAR,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,PREDICTED_RISK_BAND,TOTAL_IPC,GIS_EXACT_MATCH
Assam,Sonitpur,Assam,SONITPUR,2013,2014,0.1012559200616836,HIGH,4159,True
Assam,Tinsukia,Assam,TINSUKIA,2013,2014,0.0002672005262327,LOW,3104,True
Assam,Chirang,Assam,CHIRANG,2013,2014,0.1477932882820967,HIGH,763,True
Assam,Udalguri,Assam,UDALGURI,2013,2014,0.1145202903341002,HIGH,1113,True
Bihar,Khagaria,Bihar,KHAGARIA,2013,2014,0.0523832576056493,MEDIUM,2483,True
Bihar,Kishanganj,Bihar,KISHANGANJ,2013,2014,0.1041844683611772,HIGH,1828,True
Bihar,Lakhisarai,Bihar,LAKHISARAI,2013,2014,0.0984389221370649,HIGH,1326,True
Bihar,Madhepura,Bihar,MADHEPURA,2013,2014,0.0755016335673859,MEDIUM,2745,True
Bihar,Madhubani,Bihar,MADHUBANI,2013,2014,0.0972396277075462,HIGH,4662,True
Bihar,Munger,Bihar,MUNGER,2013,2014,0.0645068579427901,MEDIUM,2195,True
Bihar,Muzaffarpur,Bihar,MUZAFFARPUR,2013,2014,0.0533076717206044,MEDIUM,9021,True
Bihar,Nalanda,Bihar,NALANDA,2013,2014,0.0877470130529631,HIGH,5740,True
Bihar,Patna,Bihar,PATNA,2013,2014,0.0692212149773838,MEDIUM,18302,True
Bihar,Rohtas,Bihar,ROHTAS,2013,2014,0.0849016462102569,MEDIUM,4769,True
Bihar,Saharsa,Bihar,SAHARSA,2013,2014,0.0691623504909217,MEDIUM,2792,True
Bihar,Samastipur,Bihar,SAMASTIPUR,2013,2014,0.0682006106708728,MEDIUM,5802,True
Bihar,Saran,Bihar,SARAN,2013,2014,0.0695987448316175,MEDIUM,5492,True
Bihar,Sheikhpura,Bihar,SHEIKHPURA,2013,2014,0.0773103774925247,MEDIUM,1116,True
Bihar,Sheohar,Bihar,SHEOHAR,2013,2014,0.0682685748535776,MEDIUM,769,True
Bihar,Sitamarhi,Bihar,SITAMARHI,2013,2014,0.0752701580366037,MEDIUM,5324,True
Bihar,Siwan,Bihar,SIWAN,2013,2014,0.0685889669679384,MEDIUM,5390,True
Bihar,Supaul,Bihar,SUPAUL,2013,2014,0.1036856037467417,HIGH,2930,True
Bihar,Vaishali,Bihar,VAISHALI,2013,2014,0.0851931126142575,MEDIUM,5578,True
Bihar,Arwal,Bihar,ARWAL,2013,2014,0.0814511649675979,MEDIUM,909,True
Chhattisgarh,Bilaspur,Chhattisgarh,BILASPUR,2013,2014,0.1048706462227018,HIGH,5147,True
Chhattisgarh,Dhamtari,Chhattisgarh,DHAMTARI,2013,2014,0.0905474199420426,HIGH,1189,True
Chhattisgarh,Durg,Chhattisgarh,DURG,2013,2014,0.0530087570528239,MEDIUM,6892,True
Chhattisgarh,Jashpur,Chhattisgarh,JASHPUR,2013,2014,0.1125492136578374,HIGH,1273,True
Chhattisgarh,Kanker,Chhattisgarh,KANKER,2013,2014,0.0925109912548991,HIGH,1132,True
Chhattisgarh,Kabirdham,Chhattisgarh,KABIRDHAM,2013,2014,0.0895770592070321,HIGH,1383,True
Chhattisgarh,Korba,Chhattisgarh,KORBA,2013,2014,0.0921445610937483,HIGH,2214,True
Chhattisgarh,Mahasamund,Chhattisgarh,MAHASAMUND,2013,2014,0.0771329278466852,MEDIUM,2396,True
