STATE_UT,DISTRICT,YEAR,TOTAL_IPC
Jharkhand,Pakur,2014,839
Jharkhand,Palamu,2014,2556
Jharkhand,Ramgarh,2014,1488
Jharkhand,Ranchi,2014,2447
Jharkhand,Sahebganj,2014,1522
Jharkhand,Simdega,2014,421
Karnataka,Ballari,2014,3304
Karnataka,Bidar,2014,4333
Karnataka,Chikkaballapura,2014,2405
Karnataka,Chikkamagaluru,2014,2878
Karnataka,Chitradurga,2014,3981
Karnataka,Dakshina Kannada,2014,2087
Karnataka,Dharwad,2014,1219
Karnataka,Gadag,2014,1109
Karnataka,Hassan,2014,5182
Karnataka,Haveri,2014,2201
Karnataka,Kodagu,2014,1824
Karnataka,Kolar,2014,2188
Karnataka,Koppal,2014,1883
Karnataka,Mandya,2014,4984
Karnataka,Raichur,2014,3128
Karnataka,Tumakuru,2014,4523
Karnataka,Udupi,2014,2496
Karnataka,Uttara Kannada,2014,2783
Karnataka,Vijayapura,2014,2931
Kerala,Idukki,2014,5264
Kerala,Kannur,2014,6716
Kerala,Kottayam,2014,17769
Kerala,Malappuram,2014,18057
Kerala,Palakkad,2014,14780
Kerala,Pathanamthitta,2014,8533
Madhya Pradesh,Alirajpur,2014,1161
Madhya Pradesh,Anuppur,2014,2666
Madhya Pradesh,Balaghat,2014,3507
Madhya Pradesh,Barwani,2014,2857
Madhya Pradesh,Betul,2014,6822
Madhya Pradesh,Bhind,2014,4870
Madhya Pradesh,Bhopal,2014,16094
Madhya Pradesh,Burhanpur,2014,1958
Madhya Pradesh,Chhatarpur,2014,4463
Madhya Pradesh,Chhindwara,2014,6149
Madhya Pradesh,Damoh,2014,2702
Madhya Pradesh,Datia,2014,2783
Madhya Pradesh,Dewas,2014,7426
Madhya Pradesh,Dhar,2014,7479
Madhya Pradesh,Dindori,2014,3851
Madhya Pradesh,Guna,2014,4539
Madhya Pradesh,Gwalior,2014,12958
Madhya Pradesh,Harda,2014,2016
Madhya Pradesh,Indore,2014,23992
Madhya Pradesh,Jabalpur,2014,12918
Madhya Pradesh,Jhabua,2014,2990
Madhya Pradesh,Katni,2014,3670
Madhya Pradesh,Khargone,2014,4533
Madhya Pradesh,Mandla,2014,2220
Madhya Pradesh,Mandsaur,2014,5565
Madhya Pradesh,Morena,2014,5944
Madhya Pradesh,Narsinghpur,2014,3777
Madhya Pradesh,Neemuch,2014,2986
Madhya Pradesh,Panna,2014,2063
Madhya Pradesh,Raisen,2014,5204
Madhya Pradesh,Rajgarh,2014,5529
Madhya Pradesh,Ratlam,2014,4560
Madhya Pradesh,Rewa,2014,6678
Madhya Pradesh,Sagar,2014,7674
Madhya Pradesh,Satna,2014,7539
Madhya Pradesh,Sehore,2014,5006
Madhya Pradesh,Seoni,2014,3484
Madhya Pradesh,Shahdol,2014,5240
Madhya Pradesh,Shajapur,2014,3754
Madhya Pradesh,Sheopur,2014,1578
Madhya Pradesh,Shivpuri,2014,5836
Madhya Pradesh,Sidhi,2014,3576
Madhya Pradesh,Singrauli,2014,3349
Madhya Pradesh,Tikamgarh,2014,3458
Madhya Pradesh,Ujjain,2014,9141
Madhya Pradesh,Umaria,2014,2172
Madhya Pradesh,Vidisha,2014,6009
Maharashtra,Ahmednagar,2014,6957
Maharashtra,Akola,2014,4433
Maharashtra,Beed,2014,4864
