CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Madhya Pradesh,Cyber Cell,0,3,Madhya Pradesh,Agar Malwa,30.0
Madhya Pradesh,Hoshangabad,4870,1,Madhya Pradesh,Sagar,50.0
Madhya Pradesh,Hoshangabad,4870,2,Madhya Pradesh,Satna,50.0
Madhya Pradesh,Hoshangabad,4870,3,Madhya Pradesh,Ashoknagar,47.62
Madhya Pradesh,Indore Railway,552,1,Madhya Pradesh,Indore,60.0
Madhya Pradesh,Indore Railway,552,2,Madhya Pradesh,Dindori,57.14
Madhya Pradesh,Indore Railway,552,3,Madhya Pradesh,Agar Malwa,50.0
Madhya Pradesh,Jabalpur Railway,1159,1,Madhya Pradesh,Jabalpur,66.67
Madhya Pradesh,Jabalpur Railway,1159,2,Madhya Pradesh,Agar Malwa,61.54
Madhya Pradesh,Jabalpur Railway,1159,3,Madhya Pradesh,Barwani,43.48
Madhya Pradesh,Khandwa,4011,1,Madhya Pradesh,Harda,66.67
Madhya Pradesh,Khandwa,4011,2,Madhya Pradesh,Mandla,61.54
Madhya Pradesh,Khandwa,4011,3,Madhya Pradesh,Chhindwara,58.82
Maharashtra,Amravati Commr.,3338,1,Maharashtra,Amravati,72.73
Maharashtra,Amravati Commr.,3338,2,Maharashtra,Yavatmal,45.45
Maharashtra,Amravati Commr.,3338,3,Maharashtra,Ratnagiri,43.48
Maharashtra,Amravati Rural,6948,1,Maharashtra,Amravati,72.73
Maharashtra,Amravati Rural,6948,2,Maharashtra,Yavatmal,54.55
Maharashtra,Amravati Rural,6948,3,Maharashtra,Ratnagiri,43.48
Maharashtra,Aurangabad Commr.,4821,1,Maharashtra,Aurangabad,76.92
Maharashtra,Aurangabad Commr.,4821,2,Maharashtra,Nandurbar,48.0
Maharashtra,Aurangabad Commr.,4821,3,Maharashtra,Osmanabad,48.0
Maharashtra,Aurangabad Rural,4237,1,Maharashtra,Aurangabad,76.92
Maharashtra,Aurangabad Rural,4237,2,Maharashtra,Nandurbar,48.0
Maharashtra,Aurangabad Rural,4237,3,Maharashtra,Osmanabad,48.0
Maharashtra,Mumbai Commr.,40361,1,Maharashtra,Mumbai,66.67
Maharashtra,Mumbai Commr.,40361,2,Maharashtra,Mumbai Suburban,59.26
Maharashtra,Mumbai Commr.,40361,3,Maharashtra,Nandurbar,38.1
Maharashtra,Mumbai Railway,3141,1,Maharashtra,Mumbai Suburban,62.07
Maharashtra,Mumbai Railway,3141,2,Maharashtra,Mumbai,60.0
Maharashtra,Mumbai Railway,3141,3,Maharashtra,Raigad,40.0
Maharashtra,Nagpur Commr.,10359,1,Maharashtra,Nagpur,66.67
Maharashtra,Nagpur Commr.,10359,2,Maharashtra,Nandurbar,47.62
Maharashtra,Nagpur Commr.,10359,3,Maharashtra,Chandrapur,45.45
Maharashtra,Nagpur Railway,1768,1,Maharashtra,Nagpur,60.0
Maharashtra,Nagpur Railway,1768,2,Maharashtra,Nandurbar,43.48
Maharashtra,Nagpur Railway,1768,3,Maharashtra,Ratnagiri,43.48
Maharashtra,Nagpur Rural,4564,1,Maharashtra,Nagpur,66.67
Maharashtra,Nagpur Rural,4564,2,Maharashtra,Nandurbar,47.62
Maharashtra,Nagpur Rural,4564,3,Maharashtra,Chandrapur,45.45
Maharashtra,Nasik Commr.,3883,1,Maharashtra,Nashik,58.82
Maharashtra,Nasik Commr.,3883,2,Maharashtra,Washim,47.06
Maharashtra,Nasik Commr.,3883,3,Maharashtra,Ratnagiri,40.0
Maharashtra,Nasik Rural,6832,1,Maharashtra,Nashik,58.82
Maharashtra,Nasik Rural,6832,2,Maharashtra,Nandurbar,50.0
Maharashtra,Nasik Rural,6832,3,Maharashtra,Nagpur,47.06
Maharashtra,Navi Mumbai,5903,1,Maharashtra,Mumbai,70.59
Maharashtra,Navi Mumbai,5903,2,Maharashtra,Nandurbar,50.0
Maharashtra,Navi Mumbai,5903,3,Maharashtra,Mumbai Suburban,46.15
Maharashtra,Pune Commr.,14468,1,Maharashtra,Pune,57.14
Maharashtra,Pune Commr.,14468,2,Maharashtra,Nagpur,37.5
Maharashtra,Pune Commr.,14468,3,Maharashtra,Solapur,35.29
Maharashtra,Pune Railway,676,1,Maharashtra,Pune,50.0
Maharashtra,Pune Railway,676,2,Maharashtra,Raigad,44.44
Maharashtra,Pune Railway,676,3,Maharashtra,Aurangabad,36.36
Maharashtra,Pune Rural,10334,1,Maharashtra,Pune,57.14
Maharashtra,Pune Rural,10334,2,Maharashtra,Nandurbar,42.11
Maharashtra,Pune Rural,10334,3,Maharashtra,Mumbai Suburban,40.0
Maharashtra,Solapur Commr.,2186,1,Maharashtra,Solapur,70.0
Maharashtra,Solapur Commr.,2186,2,Maharashtra,Kolhapur,57.14
Maharashtra,Solapur Commr.,2186,3,Maharashtra,Latur,44.44
Maharashtra,Solapur Rural,6235,1,Maharashtra,Solapur,70.0
Maharashtra,Solapur Rural,6235,2,Maharashtra,Kolhapur,57.14
Maharashtra,Solapur Rural,6235,3,Maharashtra,Latur,44.44
Maharashtra,Thane Commr.,13227,1,Maharashtra,Thane,62.5
Maharashtra,Thane Commr.,13227,2,Maharashtra,Bhandara,42.11
Maharashtra,Thane Commr.,13227,3,Maharashtra,Chandrapur,38.1
Maharashtra,Thane Rural,3641,1,Maharashtra,Thane,62.5
Maharashtra,Thane Rural,3641,2,Maharashtra,Chandrapur,57.14
Maharashtra,Thane Rural,3641,3,Maharashtra,Bhandara,52.63
Manipur,C. I. D.,0,1,Manipur,Chandel,33.33
Manipur,C. I. D.,0,2,Manipur,Kakching,30.77
Manipur,C. I. D.,0,3,Manipur,Churachandpur,22.22
Meghalaya,Garo Hills East,159,1,Meghalaya,East Garo Hills,66.67
Meghalaya,Garo Hills East,159,2,Meghalaya,West Garo Hills,66.67
Meghalaya,Garo Hills East,159,3,Meghalaya,South Garo Hills,64.52
Meghalaya,Garo Hills North,165,1,Meghalaya,East Garo Hills,64.52
Meghalaya,Garo Hills North,165,2,Meghalaya,West Garo Hills,64.52
Meghalaya,Garo Hills North,165,3,Meghalaya,South Garo Hills,62.5
Meghalaya,Garo Hills South,167,1,Meghalaya,East Garo Hills,64.52
Meghalaya,Garo Hills South,167,2,Meghalaya,West Garo Hills,64.52
Meghalaya,Garo Hills South,167,3,Meghalaya,South Garo Hills,62.5
Meghalaya,Garo Hills South West,65,1,Meghalaya,East Garo Hills,55.56
Meghalaya,Garo Hills South West,65,2,Meghalaya,West Garo Hills,55.56
Meghalaya,Garo Hills South West,65,3,Meghalaya,South Garo Hills,54.05
Meghalaya,Garo Hills West,532,1,Meghalaya,East Garo Hills,66.67
Meghalaya,Garo Hills West,532,2,Meghalaya,West Garo Hills,66.67
Meghalaya,Garo Hills West,532,3,Meghalaya,South Garo Hills,64.52
Meghalaya,Jaintia Hills East,281,1,Meghalaya,West Jaintia Hills,72.22
Meghalaya,Jaintia Hills East,281,2,Meghalaya,East Jaintia Hills,72.22
Meghalaya,Jaintia Hills East,281,3,Meghalaya,East Garo Hills,54.55
Meghalaya,Jaintia Hills West,292,1,Meghalaya,West Jaintia Hills,72.22
Meghalaya,Jaintia Hills West,292,2,Meghalaya,East Jaintia Hills,72.22
Meghalaya,Jaintia Hills West,292,3,Meghalaya,East Garo Hills,54.55
Meghalaya,Khasi Hills East,1327,1,Meghalaya,East Khasi Hills,68.75
Meghalaya,Khasi Hills East,1327,2,Meghalaya,West Khasi Hills,68.75
Meghalaya,Khasi Hills East,1327,3,Meghalaya,South West Khasi Hills,57.89
Meghalaya,Khasi Hills South West,60,1,Meghalaya,East Khasi Hills,57.89
Meghalaya,Khasi Hills South West,60,2,Meghalaya,West Khasi Hills,57.89
Meghalaya,Khasi Hills South West,60,3,Meghalaya,South West Khasi Hills,50.0
Meghalaya,Khasi Hills West,271,1,Meghalaya,East Khasi Hills,68.75
Meghalaya,Khasi Hills West,271,2,Meghalaya,West Khasi Hills,68.75
Meghalaya,Khasi Hills West,271,3,Meghalaya,South West Khasi Hills,57.89
Mizoram,Spl Traffic,20,1,Mizoram,Lawngtlai,40.0
Mizoram,Spl Traffic,20,2,Mizoram,Saiha,37.5
Mizoram,Spl Traffic,20,3,Mizoram,Champhai,31.58
Odisha,Angul,2950,1,Odisha,Anugul,90.91
Odisha,Angul,2950,2,Odisha,Nabarangpur,50.0
Odisha,Angul,2950,3,Odisha,Balangir,46.15
Odisha,Balasore,4305,1,Odisha,Balangir,62.5
Odisha,Balasore,4305,2,Odisha,Baleshwar,58.82
Odisha,Balasore,4305,3,Odisha,Bargarh,53.33
Odisha,Baragarh,1817,1,Odisha,Bargarh,93.33
Odisha,Baragarh,1817,2,Odisha,Nayagarh,75.0
Odisha,Baragarh,1817,3,Odisha,Sundargarh,66.67
Odisha,Berhampur,1709,1,Odisha,Nabarangpur,60.0
Odisha,Berhampur,1709,2,Odisha,Sambalpur,55.56
Odisha,Berhampur,1709,3,Odisha,Kendrapara,52.63
Odisha,Bolangir,2379,1,Odisha,Balangir,87.5
Odisha,Bolangir,2379,2,Odisha,Malkangiri,66.67
Odisha,Bolangir,2379,3,Odisha,Bargarh,53.33
Odisha,DCP BBSR,5478,1,Odisha,Baleshwar,35.29
Odisha,DCP BBSR,5478,2,Odisha,Kendrapara,33.33
Odisha,DCP BBSR,5478,3,Odisha,Puri,33.33
Odisha,DCP CTC,2920,1,Odisha,Cuttack,28.57
Odisha,DCP CTC,2920,2,Odisha,Koraput,28.57
Odisha,DCP CTC,2920,3,Odisha,Gajapati,26.67
Odisha,Jagatsinghpur,2345,1,Odisha,Jagatsinghapur,96.3
Odisha,Jagatsinghpur,2345,2,Odisha,Jajapur,60.0
Odisha,Jagatsinghpur,2345,3,Odisha,Nabarangpur,58.33
Odisha,Jajpur,3174,1,Odisha,Jajapur,92.31
Odisha,Jajpur,3174,2,Odisha,Puri,60.0
Odisha,Jajpur,3174,3,Odisha,Sambalpur,53.33
Odisha,Keonjhar,2571,1,Odisha,Kendujhar,82.35
Odisha,Keonjhar,2571,2,Odisha,Kendrapara,55.56
Odisha,Keonjhar,2571,3,Odisha,Deogarh,53.33
Odisha,Khurda,2291,1,Odisha,Khordha,76.92
Odisha,Khurda,2291,2,Odisha,Jharsuguda,50.0
Odisha,Khurda,2291,3,Odisha,Nuapada,46.15
Odisha,Rourkela,2670,1,Odisha,Sonepur,40.0
Odisha,Rourkela,2670,2,Odisha,Kalahandi,35.29
Odisha,Rourkela,2670,3,Odisha,Kendujhar,35.29
Odisha,SRP (Cuttack),546,1,Odisha,Cuttack,77.78
Odisha,SRP (Cuttack),546,2,Odisha,Koraput,44.44
Odisha,SRP (Cuttack),546,3,Odisha,Bhadrak,33.33
Odisha,SRP (Rourkela),460,1,Odisha,Sonepur,42.11
Odisha,SRP (Rourkela),460,2,Odisha,Sambalpur,38.1
Odisha,SRP (Rourkela),460,3,Odisha,Puri,37.5
Puducherry,Puducherry,2913,1,Puducherry,Pondicherry,76.19
Puducherry,Puducherry,2913,2,Puducherry,Mahe,28.57
Puducherry,Puducherry,2913,3,Puducherry,Yanam,13.33
Punjab,Amritsar Rural,1396,1,Punjab,Amritsar,72.73
Punjab,Amritsar Rural,1396,2,Punjab,Sri Muktsar Sahib,51.61
Punjab,Amritsar Rural,1396,3,Punjab,Tarn Taran,50.0
Punjab,Batala,865,1,Punjab,Patiala,76.92
Punjab,Batala,865,2,Punjab,Barnala,76.92
Punjab,Batala,865,3,Punjab,Kapurthala,62.5
Punjab,CP Amritsar,1998,1,Punjab,Amritsar,84.21
Punjab,CP Amritsar,1998,2,Punjab,S.A.S Nagar,45.45
Punjab,CP Amritsar,1998,3,Punjab,Patiala,44.44
Punjab,CP Jalandhar,2020,1,Punjab,Jalandhar,85.71
Punjab,CP Jalandhar,2020,2,Punjab,S.A.S Nagar,43.48
Punjab,CP Jalandhar,2020,3,Punjab,Patiala,42.11
Punjab,CP Ludhiana,3546,1,Punjab,Ludhiana,84.21
Punjab,CP Ludhiana,3546,2,Punjab,Patiala,44.44
Punjab,CP Ludhiana,3546,3,Punjab,Jalandhar,40.0
Punjab,G. R. P.,372,1,Punjab,Gurdaspur,42.86
Punjab,G. R. P.,372,2,Punjab,Sangrur,33.33
Punjab,G. R. P.,372,3,Punjab,Rupnagar,30.77
Punjab,Jalandhar Rural,1154,1,Punjab,Jalandhar,75.0
Punjab,Jalandhar Rural,1154,2,Punjab,Sangrur,45.45
Punjab,Jalandhar Rural,1154,3,Punjab,Fatehgarh Sahib,40.0
Punjab,Khanna,1132,1,Punjab,Ludhiana,57.14
Punjab,Khanna,1132,2,Punjab,Mansa,54.55
Punjab,Khanna,1132,3,Punjab,Kapurthala,50.0
Punjab,Ludhiana Rural,1081,1,Punjab,Ludhiana,72.73
Punjab,Ludhiana Rural,1081,2,Punjab,Hoshiarpur,50.0
Punjab,Ludhiana Rural,1081,3,Punjab,Sangrur,47.62
Punjab,Muktsar,781,1,Punjab,Amritsar,66.67
Punjab,Muktsar,781,2,Punjab,Sri Muktsar Sahib,58.33
Punjab,Muktsar,781,3,Punjab,Mansa,50.0
Punjab,Ropar,1122,1,Punjab,Rupnagar,61.54
Punjab,Ropar,1122,2,Punjab,Ferozepur,57.14
Punjab,Ropar,1122,3,Punjab,Amritsar,46.15
Punjab,SAS Nagar,2408,1,Punjab,S.A.S Nagar,90.0
Punjab,SAS Nagar,2408,2,Punjab,Sangrur,62.5
Punjab,SAS Nagar,2408,3,Punjab,Rupnagar,58.82
Punjab,SBS Nagar,659,1,Punjab,S.A.S Nagar,80.0
Punjab,SBS Nagar,659,2,Punjab,Rupnagar,58.82
Punjab,SBS Nagar,659,3,Punjab,Shahid Bhagat Singh Nagar,52.94
Rajasthan,G.R.P.Ajmer,1313,1,Rajasthan,Ajmer,62.5
Rajasthan,G.R.P.Ajmer,1313,2,Rajasthan,Barmer,47.06
Rajasthan,G.R.P.Ajmer,1313,3,Rajasthan,Jaisalmer,40.0
Rajasthan,G.R.P.Jodhpur,198,1,Rajasthan,Jodhpur,70.0
Rajasthan,G.R.P.Jodhpur,198,2,Rajasthan,Dholpur,50.0
Rajasthan,G.R.P.Jodhpur,198,3,Rajasthan,Dungarpur,45.45
Rajasthan,Jaipur East,8759,1,Rajasthan,Jaipur,70.59
Rajasthan,Jaipur East,8759,2,Rajasthan,Udaipur,55.56
Rajasthan,Jaipur East,8759,3,Rajasthan,Jalore,47.06
Rajasthan,Jaipur North,4120,1,Rajasthan,Jaipur,66.67
Rajasthan,Jaipur North,4120,2,Rajasthan,Udaipur,52.63
Rajasthan,Jaipur North,4120,3,Rajasthan,Jalore,44.44
Rajasthan,Jaipur Rural,6625,1,Rajasthan,Jaipur,66.67
Rajasthan,Jaipur Rural,6625,2,Rajasthan,Udaipur,52.63
Rajasthan,Jaipur Rural,6625,3,Rajasthan,Jaisalmer,47.62
Rajasthan,Jaipur South,5953,1,Rajasthan,Jaipur,66.67
Rajasthan,Jaipur South,5953,2,Rajasthan,Udaipur,52.63
Rajasthan,Jaipur South,5953,3,Rajasthan,Sirohi,44.44
Rajasthan,Jaipur West,7238,1,Rajasthan,Jaipur,70.59
Rajasthan,Jaipur West,7238,2,Rajasthan,Udaipur,55.56
Rajasthan,Jaipur West,7238,3,Rajasthan,Jalore,47.06
Rajasthan,Jodhpur East,2952,1,Rajasthan,Jodhpur,73.68
Rajasthan,Jodhpur East,2952,2,Rajasthan,Dholpur,52.63
Rajasthan,Jodhpur East,2952,3,Rajasthan,Jaipur,44.44
Rajasthan,Jodhpur Rural,2693,1,Rajasthan,Jodhpur,70.0
Rajasthan,Jodhpur Rural,2693,2,Rajasthan,Dholpur,50.0
Rajasthan,Jodhpur Rural,2693,3,Rajasthan,Churu,44.44
Rajasthan,Jodhpur West,3281,1,Rajasthan,Jodhpur,73.68
Rajasthan,Jodhpur West,3281,2,Rajasthan,Dholpur,52.63
Rajasthan,Jodhpur West,3281,3,Rajasthan,Jaipur,44.44
Rajasthan,Kota City,5248,1,Rajasthan,Kota,61.54
Rajasthan,Kota City,5248,2,Rajasthan,Karauli,37.5
Rajasthan,Kota City,5248,3,Rajasthan,Pali,30.77
Rajasthan,Kota Rural,2557,1,Rajasthan,Karauli,58.82
Rajasthan,Kota Rural,2557,2,Rajasthan,Kota,57.14
Rajasthan,Kota Rural,2557,3,Rajasthan,Dungarpur,42.11
Rajasthan,Praapgarh,3124,1,Rajasthan,Pratapgarh,94.74
Rajasthan,Praapgarh,3124,2,Rajasthan,Hanumangarh,60.0
Rajasthan,Praapgarh,3124,3,Rajasthan,Nagaur,53.33
Sikkim,CID,7,1,Sikkim,Namchi,44.44
Sikkim,CID,7,2,Sikkim,Gyalshing,16.67
Sikkim,CID,7,3,Sikkim,Gangtok,0.0
Sikkim,East,589,1,Sikkim,Gangtok,36.36
Sikkim,East,589,2,Sikkim,Gyalshing,30.77
Sikkim,East,589,3,Sikkim,Mangan,20.0
Sikkim,North,52,1,Sikkim,Namchi,36.36
Sikkim,North,52,2,Sikkim,Gangtok,33.33
Sikkim,North,52,3,Sikkim,Mangan,18.18
Sikkim,South,290,1,Sikkim,Gyalshing,28.57
Sikkim,South,290,2,Sikkim,Namchi,18.18
Sikkim,South,290,3,Sikkim,Gangtok,16.67
Sikkim,West,127,1,Sikkim,Gangtok,18.18
Sikkim,West,127,2,Sikkim,Gyalshing,15.38
Sikkim,West,127,3,Sikkim,Mangan,0.0
Tamil Nadu,Coimbatore City,4281,1,Tamil Nadu,Coimbatore,80.0
Tamil Nadu,Coimbatore City,4281,2,Tamil Nadu,Cuddalore,41.67
Tamil Nadu,Coimbatore City,4281,3,Tamil Nadu,Kanniyakumari,35.71
Tamil Nadu,Cyber Cell,3,1,Tamil Nadu,Erode,40.0
Tamil Nadu,Cyber Cell,3,2,Tamil Nadu,Tirunelveli,38.1
Tamil Nadu,Cyber Cell,3,3,Tamil Nadu,Vellore,35.29
Tamil Nadu,Kanyakumari,4041,1,Tamil Nadu,Kanniyakumari,91.67
Tamil Nadu,Kanyakumari,4041,2,Tamil Nadu,Kallakurichi,60.87
Tamil Nadu,Kanyakumari,4041,3,Tamil Nadu,Thanjavur,50.0
Tamil Nadu,Madurai City,3226,1,Tamil Nadu,Madurai,73.68
Tamil Nadu,Madurai City,3226,2,Tamil Nadu,Kallakurichi,50.0
Tamil Nadu,Madurai City,3226,3,Tamil Nadu,Dharmapuri,45.45
Tamil Nadu,Nilgiris,1199,1,Tamil Nadu,The Nilgiris,80.0
Tamil Nadu,Nilgiris,1199,2,Tamil Nadu,Krishnagiri,52.63
Tamil Nadu,Nilgiris,1199,3,Tamil Nadu,Kanniyakumari,38.1
Tamil Nadu,Other Units,0,1,Tamil Nadu,Theni,62.5
Tamil Nadu,Other Units,0,2,Tamil Nadu,The Nilgiris,60.87
Tamil Nadu,Other Units,0,3,Tamil Nadu,Tirunelveli,45.45
Tamil Nadu,Pudukottai,3720,1,Tamil Nadu,Pudukkottai,95.24
Tamil Nadu,Pudukottai,3720,2,Tamil Nadu,Madurai,47.06
Tamil Nadu,Pudukottai,3720,3,Tamil Nadu,Nagapattinam,36.36
Tamil Nadu,Railway Chennai,637,1,Tamil Nadu,Chennai,63.64
Tamil Nadu,Railway Chennai,637,2,Tamil Nadu,Krishnagiri,46.15
Tamil Nadu,Railway Chennai,637,3,Tamil Nadu,Tiruvannamalai,41.38
Tamil Nadu,Railway Trichy,229,1,Tamil Nadu,Kallakurichi,53.85
Tamil Nadu,Railway Trichy,229,2,Tamil Nadu,Ranipet,38.1
Tamil Nadu,Railway Trichy,229,3,Tamil Nadu,Kanniyakumari,37.04
Tamil Nadu,Ramnathapuram,3819,1,Tamil Nadu,Ramanathapuram,96.3
Tamil Nadu,Ramnathapuram,3819,2,Tamil Nadu,Kanchipuram,66.67
Tamil Nadu,Ramnathapuram,3819,3,Tamil Nadu,Dharmapuri,52.17
Tamil Nadu,Salem City,4504,1,Tamil Nadu,Salem,66.67
Tamil Nadu,Salem City,4504,2,Tamil Nadu,Kallakurichi,36.36
Tamil Nadu,Salem City,4504,3,Tamil Nadu,Ranipet,35.29
Tamil Nadu,Sivagangai,3738,1,Tamil Nadu,Sivaganga,94.74
Tamil Nadu,Sivagangai,3738,2,Tamil Nadu,Tiruvannamalai,50.0
Tamil Nadu,Sivagangai,3738,3,Tamil Nadu,Nagapattinam,45.45
Tamil Nadu,Thirunelveli,8490,1,Tamil Nadu,Tirunelveli,95.65
Tamil Nadu,Thirunelveli,8490,2,Tamil Nadu,Thiruvallur,60.87
Tamil Nadu,Thirunelveli,8490,3,Tamil Nadu,Thiruvarur,54.55
Tamil Nadu,Thirunelveli City,1623,1,Tamil Nadu,Tirunelveli,78.57
Tamil Nadu,Thirunelveli City,1623,2,Tamil Nadu,Thiruvallur,50.0
Tamil Nadu,Thirunelveli City,1623,3,Tamil Nadu,Tiruvannamalai,45.16
Tamil Nadu,Thiruvannamalai,4411,1,Tamil Nadu,Tiruvannamalai,96.55
Tamil Nadu,Thiruvannamalai,4411,2,Tamil Nadu,Thiruvallur,61.54
Tamil Nadu,Thiruvannamalai,4411,3,Tamil Nadu,Thiruvarur,56.0
Tamil Nadu,Thoothugudi,5344,1,Tamil Nadu,Thiruvarur,38.1
Tamil Nadu,Thoothugudi,5344,2,Tamil Nadu,Tirupathur,38.1
Tamil Nadu,Thoothugudi,5344,3,Tamil Nadu,Theni,37.5
Tamil Nadu,Tiruppur City,2490,1,Tamil Nadu,Tiruppur,76.19
Tamil Nadu,Tiruppur City,2490,2,Tamil Nadu,Tirupathur,60.87
Tamil Nadu,Tiruppur City,2490,3,Tamil Nadu,Thiruvarur,52.17
Tamil Nadu,Trichy,4688,1,Tamil Nadu,Kallakurichi,44.44
Tamil Nadu,Trichy,4688,2,Tamil Nadu,Ariyalur,42.86
Tamil Nadu,Trichy,4688,3,Tamil Nadu,Tuticorin,40.0
Tamil Nadu,Trichy City,3074,1,Tamil Nadu,Kallakurichi,43.48
Tamil Nadu,Trichy City,3074,2,Tamil Nadu,Tiruchirappalli,38.46
Tamil Nadu,Trichy City,3074,3,Tamil Nadu,Krishnagiri,36.36
Telangana,Cyberabad,19311,1,Telangana,Hyderabad,77.78
Telangana,Cyberabad,19311,2,Telangana,Vikarabad,55.56
Telangana,Cyberabad,19311,3,Telangana,Mahabubabad,50.0
Telangana,Hyderabad City,18940,1,Telangana,Hyderabad,78.26
Telangana,Hyderabad City,18940,2,Telangana,Adilabad,45.45
Telangana,Hyderabad City,18940,3,Telangana,Vikarabad,43.48
Telangana,Mahaboob Nagar,7533,1,Telangana,Mahabubnagar,84.62
Telangana,Mahaboob Nagar,7533,2,Telangana,Mahabubabad,64.0
Telangana,Mahaboob Nagar,7533,3,Telangana,Karimnagar,50.0
Telangana,Secunderabad Railway,860,1,Telangana,Hyderabad,48.28
Telangana,Secunderabad Railway,860,2,Telangana,Rajanna Sircilla,44.44
Telangana,Secunderabad Railway,860,3,Telangana,Jogulamba Gadwal,38.89
Telangana,Warangal Urban,3792,1,Telangana,Warangal,72.73
Telangana,Warangal Urban,3792,2,Telangana,Ranga Reddy,56.0
Telangana,Warangal Urban,3792,3,Telangana,Karimnagar,50.0
Tripura,G. R. P.,9,1,Tripura,West Tripura,35.29
Tripura,G. R. P.,9,2,Tripura,North Tripura,33.33
Tripura,G. R. P.,9,3,Tripura,South Tripura,33.33
Tripura,Kowai,338,1,Tripura,Khowai,90.91
Tripura,Kowai,338,2,Tripura,Gomati,54.55
Tripura,Kowai,338,3,Tripura,Unakoti,50.0
Tripura,North,510,1,Tripura,North Tripura,55.56
Tripura,North,510,2,Tripura,Unakoti,50.0
Tripura,North,510,3,Tripura,Gomati,36.36
Tripura,Sipahijala,725,1,Tripura,Sepahijala,90.0
Tripura,Sipahijala,725,2,Tripura,Dhalai,50.0
Tripura,Sipahijala,725,3,Tripura,West Tripura,36.36
Tripura,South,678,1,Tripura,South Tripura,55.56
Tripura,South,678,2,Tripura,Gomati,36.36
Tripura,South,678,3,Tripura,North Tripura,33.33
Tripura,West,1650,1,Tripura,West Tripura,50.0
Tripura,West,1650,2,Tripura,South Tripura,23.53
Tripura,West,1650,3,Tripura,Khowai,20.0
Uttar Pradesh,Allahabad,9909,1,Uttar Pradesh,Farrukhabad,60.0
Uttar Pradesh,Allahabad,9909,2,Uttar Pradesh,Ghaziabad,55.56
Uttar Pradesh,Allahabad,9909,3,Uttar Pradesh,Moradabad,55.56
Uttar Pradesh,Badaun,2919,1,Uttar Pradesh,Budaun,83.33
Uttar Pradesh,Badaun,2919,2,Uttar Pradesh,Banda,72.73
Uttar Pradesh,Badaun,2919,3,Uttar Pradesh,Jalaun,66.67
Uttar Pradesh,Bulandshahar,4775,1,Uttar Pradesh,Bulandshahr,95.65
Uttar Pradesh,Bulandshahar,4775,2,Uttar Pradesh,Banda,58.82
Uttar Pradesh,Bulandshahar,4775,3,Uttar Pradesh,Kushi Nagar,52.17
Uttar Pradesh,Chandoli,1366,1,Uttar Pradesh,Chandauli,82.35
Uttar Pradesh,Chandoli,1366,2,Uttar Pradesh,Hardoi,71.43
Uttar Pradesh,Chandoli,1366,3,Uttar Pradesh,Bhadohi,66.67
Uttar Pradesh,Faizabad,2426,1,Uttar Pradesh,Firozabad,82.35
Uttar Pradesh,Faizabad,2426,2,Uttar Pradesh,Ghaziabad,70.59
Uttar Pradesh,Faizabad,2426,3,Uttar Pradesh,Farrukhabad,63.16
Uttar Pradesh,Fatehgarh,2151,1,Uttar Pradesh,Fatehpur,70.59
Uttar Pradesh,Fatehgarh,2151,2,Uttar Pradesh,Pratapgarh,63.16
Uttar Pradesh,Fatehgarh,2151,3,Uttar Pradesh,Aligarh,62.5
Uttar Pradesh,G. R. P.,5158,1,Uttar Pradesh,Agra,44.44
Uttar Pradesh,G. R. P.,5158,2,Uttar Pradesh,Gorakhpur,42.86
Uttar Pradesh,G. R. P.,5158,3,Uttar Pradesh,Rampur,36.36
Uttar Pradesh,Gautambudh Nagar,8521,1,Uttar Pradesh,Gautam Buddha Nagar,91.43
Uttar Pradesh,Gautambudh Nagar,8521,2,Uttar Pradesh,Ambedkar Nagar,66.67
Uttar Pradesh,Gautambudh Nagar,8521,3,Uttar Pradesh,Sant Kabeer Nagar,60.61
Uttar Pradesh,Khiri,3465,1,Uttar Pradesh,Kheri,80.0
Uttar Pradesh,Khiri,3465,2,Uttar Pradesh,Kushi Nagar,50.0
Uttar Pradesh,Khiri,3465,3,Uttar Pradesh,Ghazipur,46.15
Uttar Pradesh,Raibareilly,2053,1,Uttar Pradesh,Bareilly,84.21
Uttar Pradesh,Raibareilly,2053,2,Uttar Pradesh,Rae Bareli,66.67
Uttar Pradesh,Raibareilly,2053,3,Uttar Pradesh,Ballia,47.06
Uttar Pradesh,Sant Kabirnagar,727,1,Uttar Pradesh,Sant Kabeer Nagar,87.5
Uttar Pradesh,Sant Kabirnagar,727,2,Uttar Pradesh,Ambedkar Nagar,62.07
Uttar Pradesh,Sant Kabirnagar,727,3,Uttar Pradesh,Siddharth Nagar,60.0
Uttar Pradesh,Shrawasti,801,1,Uttar Pradesh,Shravasti,88.89
Uttar Pradesh,Shrawasti,801,2,Uttar Pradesh,Varanasi,58.82
Uttar Pradesh,Shrawasti,801,3,Uttar Pradesh,Basti,57.14
Uttar Pradesh,Sidharthnagar,773,1,Uttar Pradesh,Siddharth Nagar,92.86
Uttar Pradesh,Sidharthnagar,773,2,Uttar Pradesh,Ambedkar Nagar,59.26
Uttar Pradesh,Sidharthnagar,773,3,Uttar Pradesh,Kushi Nagar,58.33
Uttar Pradesh,St.Ravidasnagar,574,1,Uttar Pradesh,Siddharth Nagar,60.0
