CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Bihar,Patna Railway,1216,3,Bihar,Arwal,44.44
Bihar,Purnea,5723,1,Bihar,Purnia,83.33
Bihar,Purnea,5723,2,Bihar,Patna,54.55
Bihar,Purnea,5723,3,Bihar,Madhepura,53.33
Chhattisgarh,Balodbazar,2578,1,Chhattisgarh,Baloda Bazar,90.91
Chhattisgarh,Balodbazar,2578,2,Chhattisgarh,Balod,66.67
Chhattisgarh,Balodbazar,2578,3,Chhattisgarh,Balrampur,52.63
Chhattisgarh,Bemetra,1645,1,Chhattisgarh,Bemetara,93.33
Chhattisgarh,Bemetra,1645,2,Chhattisgarh,Bastar,46.15
Chhattisgarh,Bemetra,1645,3,Chhattisgarh,Dhamtari,40.0
Chhattisgarh,Bizapur,343,1,Chhattisgarh,Bijapur,85.71
Chhattisgarh,Bizapur,343,2,Chhattisgarh,Bilaspur,80.0
Chhattisgarh,Bizapur,343,3,Chhattisgarh,Balrampur,62.5
Chhattisgarh,Dantewara,442,1,Chhattisgarh,Dantewada,88.89
Chhattisgarh,Dantewara,442,2,Chhattisgarh,Dhamtari,58.82
Chhattisgarh,Dantewara,442,3,Chhattisgarh,Bastar,53.33
Chhattisgarh,G. R. P. Raipur,400,1,Chhattisgarh,Raipur,66.67
Chhattisgarh,G. R. P. Raipur,400,2,Chhattisgarh,Surajpur,50.0
Chhattisgarh,G. R. P. Raipur,400,3,Chhattisgarh,Balrampur,47.62
Chhattisgarh,Jagdalpur,1580,1,Chhattisgarh,Jashpur,62.5
Chhattisgarh,Jagdalpur,1580,2,Chhattisgarh,Bijapur,62.5
Chhattisgarh,Jagdalpur,1580,3,Chhattisgarh,Balrampur,55.56
Chhattisgarh,Janjgir,3401,1,Chhattisgarh,Janjgir-Champa,66.67
Chhattisgarh,Janjgir,3401,2,Chhattisgarh,Kanker,46.15
Chhattisgarh,Janjgir,3401,3,Chhattisgarh,Raipur,46.15
Chhattisgarh,Koriya,1707,1,Chhattisgarh,Korba,72.73
Chhattisgarh,Koriya,1707,2,Chhattisgarh,Korea,72.73
Chhattisgarh,Koriya,1707,3,Chhattisgarh,Gariyaband,50.0
Chhattisgarh,Mungali,938,1,Chhattisgarh,Mungeli,85.71
Chhattisgarh,Mungali,938,2,Chhattisgarh,Surguja,42.86
Chhattisgarh,Mungali,938,3,Chhattisgarh,Dhamtari,40.0
Chhattisgarh,Sarguja,1835,1,Chhattisgarh,Surguja,85.71
Chhattisgarh,Sarguja,1835,2,Chhattisgarh,Bastar,46.15
Chhattisgarh,Sarguja,1835,3,Chhattisgarh,Surajpur,40.0
Goa,C. I. D.,112,1,Goa,North Goa,14.29
Goa,C. I. D.,112,2,Goa,South Goa,14.29
Gujarat,Ahmedabad City,15286,1,Gujarat,Ahmadabad,69.57
Gujarat,Ahmedabad City,15286,2,Gujarat,Mahesana,45.45
Gujarat,Ahmedabad City,15286,3,Gujarat,Kheda,42.11
Gujarat,Ahmedabad Rural,4266,1,Gujarat,Ahmadabad,66.67
Gujarat,Ahmedabad Rural,4266,2,Gujarat,Jamnagar,43.48
Gujarat,Ahmedabad Rural,4266,3,Gujarat,Mahesana,43.48
Gujarat,Banaskantha,4464,1,Gujarat,Banas Kantha,95.65
Gujarat,Banaskantha,4464,2,Gujarat,Sabar Kantha,69.57
Gujarat,Banaskantha,4464,3,Gujarat,Anand,50.0
Gujarat,C. I. D. Crime,8,1,Gujarat,Devbhumi Dwarka,30.77
Gujarat,C. I. D. Crime,8,2,Gujarat,Panch Mahals,26.09
Gujarat,C. I. D. Crime,8,3,Gujarat,Chhotaudepur,26.09
Gujarat,Dahod,2594,1,Gujarat,Dohad,60.0
Gujarat,Dahod,2594,2,Gujarat,Dang,44.44
Gujarat,Dahod,2594,3,Gujarat,Ahmadabad,42.86
Gujarat,Kachchh East(G),3349,1,Gujarat,Kachchh,66.67
Gujarat,Kachchh East(G),3349,2,Gujarat,Panch Mahals,46.15
Gujarat,Kachchh East(G),3349,3,Gujarat,Mahesana,36.36
Gujarat,Kachchh West(B),2269,1,Gujarat,Kachchh,66.67
Gujarat,Kachchh West(B),2269,2,Gujarat,Panch Mahals,38.46
Gujarat,Kachchh West(B),2269,3,Gujarat,Mahesana,36.36
Gujarat,Mehsana,6587,1,Gujarat,Mahesana,80.0
Gujarat,Mehsana,6587,2,Gujarat,Mahisagar,62.5
Gujarat,Mehsana,6587,3,Gujarat,Anand,50.0
Gujarat,Panchmahal,2634,1,Gujarat,Panch Mahals,90.91
Gujarat,Panchmahal,2634,2,Gujarat,Ahmadabad,52.63
Gujarat,Panchmahal,2634,3,Gujarat,Gandhinagar,47.62
Gujarat,Rajkot City,3516,1,Gujarat,Rajkot,70.59
Gujarat,Rajkot City,3516,2,Gujarat,Surat,37.5
Gujarat,Rajkot City,3516,3,Gujarat,Arvalli,33.33
Gujarat,Rajkot Rural,2891,1,Gujarat,Rajkot,66.67
Gujarat,Rajkot Rural,2891,2,Gujarat,Patan,35.29
Gujarat,Rajkot Rural,2891,3,Gujarat,Surat,35.29
Gujarat,Sabarkantha,5647,1,Gujarat,Sabar Kantha,95.65
Gujarat,Sabarkantha,5647,2,Gujarat,Banas Kantha,69.57
Gujarat,Sabarkantha,5647,3,Gujarat,Bharuch,44.44
Gujarat,Surat City,4397,1,Gujarat,Surat,66.67
Gujarat,Surat City,4397,2,Gujarat,Rajkot,37.5
Gujarat,Surat City,4397,3,Gujarat,Sabar Kantha,36.36
Gujarat,Surat Rural,3810,1,Gujarat,Surat,62.5
Gujarat,Surat Rural,3810,2,Gujarat,Sabar Kantha,43.48
Gujarat,Surat Rural,3810,3,Gujarat,Surendranagar,41.67
Gujarat,Vadodara City,12651,1,Gujarat,Vadodara,76.19
Gujarat,Vadodara City,12651,2,Gujarat,Navsari,40.0
Gujarat,Vadodara City,12651,3,Gujarat,Sabar Kantha,40.0
Gujarat,Vadodara Rural,2896,1,Gujarat,Vadodara,72.73
Gujarat,Vadodara Rural,2896,2,Gujarat,Sabar Kantha,38.46
Gujarat,Vadodara Rural,2896,3,Gujarat,Bhavnagar,34.78
Gujarat,W.Rly  Ahmedabad,454,1,Gujarat,Ahmadabad,66.67
Gujarat,W.Rly  Ahmedabad,454,2,Gujarat,Mahesana,43.48
Gujarat,W.Rly  Ahmedabad,454,3,Gujarat,Kheda,40.0
Gujarat,W.Rly Vadodara,657,1,Gujarat,Vadodara,72.73
Gujarat,W.Rly Vadodara,657,2,Gujarat,Porbandar,43.48
Gujarat,W.Rly Vadodara,657,3,Gujarat,Narmada,38.1
Haryana,Ambala (Rural),1098,1,Haryana,Ambala,66.67
Haryana,Ambala (Rural),1098,2,Haryana,Palwal,44.44
Haryana,Ambala (Rural),1098,3,Haryana,Yamunanagar,43.48
Haryana,Ambala (Urban),1977,1,Haryana,Ambala,66.67
Haryana,Ambala (Urban),1977,2,Haryana,Yamunanagar,43.48
Haryana,Ambala (Urban),1977,3,Haryana,Karnal,33.33
Haryana,G. R. P.,1139,1,Haryana,Gurugram,30.77
Haryana,G. R. P.,1139,2,Haryana,Yamunanagar,25.0
Haryana,G. R. P.,1139,3,Haryana,Mahendragarh,23.53
Haryana,Gurgaon,11444,1,Haryana,Gurugram,66.67
Haryana,Gurgaon,11444,2,Haryana,Kurukshetra,33.33
Haryana,Gurgaon,11444,3,Haryana,Sirsa,33.33
Haryana,Hissar,5608,1,Haryana,Hisar,90.91
Haryana,Hissar,5608,2,Haryana,Sirsa,54.55
Haryana,Hissar,5608,3,Haryana,Bhiwani,46.15
Haryana,Irrigation & Power,192,1,Haryana,Mahendragarh,28.57
Haryana,Irrigation & Power,192,2,Haryana,Sirsa,28.57
Haryana,Irrigation & Power,192,3,Haryana,Rewari,27.27
Haryana,Mahendergarh,2262,1,Haryana,Mahendragarh,91.67
Haryana,Mahendergarh,2262,2,Haryana,Yamunanagar,52.17
Haryana,Mahendergarh,2262,3,Haryana,Hisar,35.29
Haryana,Mewat,2414,1,Haryana,Rewari,54.55
Haryana,Mewat,2414,2,Haryana,Ambala,36.36
Haryana,Mewat,2414,3,Haryana,Palwal,36.36
Himachal Pradesh,Baddi,651,1,Himachal Pradesh,Mandi,60.0
Himachal Pradesh,Baddi,651,2,Himachal Pradesh,Chamba,36.36
Himachal Pradesh,Baddi,651,3,Himachal Pradesh,Bilaspur,30.77
Himachal Pradesh,C. I. D.,4,1,Himachal Pradesh,Lahul And Spiti,20.0
Himachal Pradesh,C. I. D.,4,2,Himachal Pradesh,Mandi,20.0
Himachal Pradesh,C. I. D.,4,3,Himachal Pradesh,Chamba,18.18
Himachal Pradesh,G. R. P.,9,1,Himachal Pradesh,Kangra,36.36
Himachal Pradesh,G. R. P.,9,2,Himachal Pradesh,Hamirpur,30.77
Himachal Pradesh,G. R. P.,9,3,Himachal Pradesh,Lahul And Spiti,30.0
Himachal Pradesh,Lahaul & Spiti,84,1,Himachal Pradesh,Lahul And Spiti,81.48
Himachal Pradesh,Lahaul & Spiti,84,2,Himachal Pradesh,Bilaspur,40.0
Himachal Pradesh,Lahaul & Spiti,84,3,Himachal Pradesh,Hamirpur,30.0
Jammu & Kashmir,Awantipora,389,1,Jammu & Kashmir,Bandipora,73.68
Jammu & Kashmir,Awantipora,389,2,Jammu & Kashmir,Anantnag,55.56
Jammu & Kashmir,Awantipora,389,3,Jammu & Kashmir,Kupwara,47.06
Jammu & Kashmir,Crime Jammu,14,1,Jammu & Kashmir,Jammu,62.5
Jammu & Kashmir,Crime Jammu,14,2,Jammu & Kashmir,Baramulla,40.0
Jammu & Kashmir,Crime Jammu,14,3,Jammu & Kashmir,Ramban,35.29
Jammu & Kashmir,Crime Srinagar,43,1,Jammu & Kashmir,Srinagar,72.73
Jammu & Kashmir,Crime Srinagar,43,2,Jammu & Kashmir,Kishtwar,36.36
Jammu & Kashmir,Crime Srinagar,43,3,Jammu & Kashmir,Muzaffarabad,30.77
Jammu & Kashmir,Handwara,562,1,Jammu & Kashmir,Bandipora,58.82
Jammu & Kashmir,Handwara,562,2,Jammu & Kashmir,Kupwara,53.33
Jammu & Kashmir,Handwara,562,3,Jammu & Kashmir,Anantnag,50.0
Jammu & Kashmir,Kargil,105,1,Jammu & Kashmir,Kupwara,46.15
Jammu & Kashmir,Kargil,105,2,Jammu & Kashmir,Rajouri,46.15
Jammu & Kashmir,Kargil,105,3,Jammu & Kashmir,Kishtwar,42.86
Jammu & Kashmir,Leh,166,1,Jammu & Kashmir,Reasi,25.0
Jammu & Kashmir,Leh,166,2,Jammu & Kashmir,Kathua,22.22
Jammu & Kashmir,Leh,166,3,Jammu & Kashmir,Poonch,22.22
Jammu & Kashmir,Railways Jammu,16,1,Jammu & Kashmir,Jammu,52.63
Jammu & Kashmir,Railways Jammu,16,2,Jammu & Kashmir,Pulwama,38.1
