MURDER,ATTEMPT_MURDER,CULPABLE_HOMICIDE,RAPE,CUSTODIAL_RAPE,KIDNAPPING_ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,RIOTS,CRIMINAL_BREACH_TRUST,CHEATING,ARSON,DOWRY_DEATHS,ASSAULT_WOMEN,INSULT_WOMEN,CRUELTY_WOMEN,IMPORTATION_GIRLS,DEATH_BY_NEGLIGENCE,OTHER_IPC,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,WOMEN_CRIME_SHARE,YEAR,NEXT_YEAR_WOMEN_CRIME_SHARE,TARGET_YEAR,STATE_UT,DISTRICT,REPORTING_UNIT_KEY,TEST_ROW_ID,PREDICTED_WOMEN_CRIME_SHARE,PREDICTED_WOMEN_CRIME_SHARE_CLIPPED,ABSOLUTE_ERROR,STATE_KEY,DISTRICT_KEY,GIS_EXACT_MATCH,GIS_MATCH_TYPE,GIS_MAPPED_STATE_KEY,GIS_MAPPED_DISTRICT_KEY,GIS_MAPPED,PREDICTED_RISK_BAND
103,99,10,100,0,114,6,16,455,887,340,135,52,636,42,15,254,297,768,0,483,3864,10607,1434,702,1704,688,177,0.13519373998303,2013,0.1028851388132825,2014,Andhra Pradesh,KHAMMAM,ANDHRA_PRADESH_TELANGANA_FAMILY||KHAMMAM,34,0.123780024039094,0.123780024039094,0.0208948852258115,ANDHRA PRADESH TELANGANA,KHAMMAM,True,EXACT,ANDHRA PRADESH TELANGANA,KHAMMAM,True,HIGH
56,46,0,58,0,54,0,18,316,579,154,15,31,203,45,14,387,274,708,0,404,1059,6876,1441,619,1067,234,60,0.2095695171611402,2013,0.1818310257134784,2014,Andhra Pradesh,KRISHNA,ANDHRA_PRADESH_TELANGANA_FAMILY||KRISHNA,37,0.1281356746522151,0.1281356746522151,0.0536953510612633,ANDHRA PRADESH TELANGANA,KRISHNA,True,EXACT,ANDHRA PRADESH TELANGANA,KRISHNA,True,HIGH
127,175,0,26,0,72,12,27,252,565,21,128,16,506,35,11,374,199,203,0,478,1852,7595,813,813,877,522,163,0.1070441079657669,2013,0.1262205286973088,2014,Andhra Pradesh,KURNOOL,ANDHRA_PRADESH_TELANGANA_FAMILY||KURNOOL,40,0.090709584141267,0.090709584141267,0.0355109445560417,ANDHRA PRADESH TELANGANA,KURNOOL,True,EXACT,ANDHRA PRADESH TELANGANA,KURNOOL,True,HIGH
128,77,6,64,0,44,3,14,414,775,245,45,25,358,58,25,169,73,476,0,733,1591,7054,807,505,1451,383,103,0.1144031755032605,2013,0.1007069686913865,2014,Andhra Pradesh,MEDAK,ANDHRA_PRADESH_TELANGANA_FAMILY||MEDAK,45,0.0899533076840712,0.0899533076840712,0.0107536610073152,ANDHRA PRADESH TELANGANA,MEDAK,True,EXACT,ANDHRA PRADESH TELANGANA,MEDAK,True,HIGH
98,100,5,77,0,118,13,27,375,810,244,231,91,499,49,27,367,313,327,0,746,2701,10291,1111,805,1469,590,280,0.1079584102613934,2013,0.1115193429868165,2014,Andhra Pradesh,NALGONDA,ANDHRA_PRADESH_TELANGANA_FAMILY||NALGONDA,48,0.1044965746737689,0.1044965746737689,0.0070227683130475,ANDHRA PRADESH TELANGANA,NALGONDA,True,EXACT,ANDHRA PRADESH TELANGANA,NALGONDA,True,HIGH
99,110,2,26,0,95,4,41,364,1077,323,29,129,223,29,8,263,221,374,0,455,1239,7326,892,640,1809,352,58,0.1217581217581217,2013,0.1142507645259938,2014,Andhra Pradesh,NELLORE,ANDHRA_PRADESH_TELANGANA_FAMILY||NELLORE,51,0.0901323358872348,0.0901323358872348,0.024118428638759,ANDHRA PRADESH TELANGANA,NELLORE,False,UNMATCHED,,,False,HIGH
117,56,12,49,0,54,5,18,480,1035,338,84,41,373,60,17,142,295,732,0,572,1720,7662,1235,453,1876,414,144,0.1611850691725398,2013,0.1456117963986956,2014,Andhra Pradesh,NIZAMABAD,ANDHRA_PRADESH_TELANGANA_FAMILY||NIZAMABAD,54,0.1390369380326335,0.1390369380326335,0.006574858366062,ANDHRA PRADESH TELANGANA,NIZAMABAD,True,EXACT,ANDHRA PRADESH TELANGANA,NIZAMABAD,True,HIGH
77,101,6,39,0,65,7,30,238,694,233,93,81,294,27,8,298,26,484,0,492,1061,6399,855,623,1202,375,120,0.1336146272855133,2013,0.1057012721847023,2014,Andhra Pradesh,PRAKASHAM,ANDHRA_PRADESH_TELANGANA_FAMILY||PRAKASHAM,57,0.1201379462495439,0.1201379462495439,0.0144366740648416,ANDHRA PRADESH TELANGANA,PRAKASHAM,False,UNMATCHED,,,False,HIGH
14,15,2,14,0,15,1,18,160,314,132,12,22,48,11,2,67,68,209,0,136,365,2251,360,146,625,70,23,0.1599289204797867,2013,0.1547325102880658,2014,Andhra Pradesh,RAJAHMUNDRY,ANDHRA_PRADESH_TELANGANA_FAMILY||RAJAHMUNDRY,60,0.1249597673664213,0.1249597673664213,0.0297727429216444,ANDHRA PRADESH TELANGANA,RAJAHMUNDRY,False,UNMATCHED,,,False,HIGH
80,47,8,37,0,25,1,13,96,173,17,18,9,94,25,14,69,23,168,0,182,482,2191,311,280,300,103,43,0.1419443176631675,2013,0.1533131225638804,2014,Andhra Pradesh,RANGA REDDY,ANDHRA_PRADESH_TELANGANA_FAMILY||RANGA REDDY,63,0.1093572771844877,0.1093572771844877,0.0439558453793926,ANDHRA PRADESH TELANGANA,RANGA REDDY,True,EXACT,ANDHRA PRADESH TELANGANA,RANGA REDDY,True,HIGH
35,49,1,42,0,26,1,11,190,307,72,22,15,153,31,3,207,129,361,0,319,1814,4841,742,372,581,168,53,0.1532741169179921,2013,0.136661730484451,2014,Andhra Pradesh,SRIKAKULAM,ANDHRA_PRADESH_TELANGANA_FAMILY||SRIKAKULAM,68,0.103194489130624,0.103194489130624,0.0334672413538269,ANDHRA PRADESH TELANGANA,SRIKAKULAM,True,EXACT,ANDHRA PRADESH TELANGANA,SRIKAKULAM,True,HIGH
26,21,1,10,0,22,0,15,190,827,326,22,3,197,4,7,45,31,133,0,200,502,2821,226,140,1358,200,26,0.0801134349521446,2013,0.076417419884963,2014,Andhra Pradesh,TIRUPATHI URBAN,ANDHRA_PRADESH_TELANGANA_FAMILY||TIRUPATHI URBAN,71,0.0791609167201288,0.0791609167201288,0.0027434968351658,ANDHRA PRADESH TELANGANA,TIRUPATHI URBAN,False,UNMATCHED,,,False,MEDIUM
29,55,8,48,0,72,2,66,323,2173,783,6,124,459,24,12,249,456,1227,0,325,1359,8978,1992,529,3347,583,30,0.221875696146135,2013,0.1532503809040122,2014,Andhra Pradesh,VIJAYAWADA CITY,ANDHRA_PRADESH_TELANGANA_FAMILY||VIJAYAWADA CITY,74,0.1358646648150541,0.1358646648150541,0.017385716088958,ANDHRA PRADESH TELANGANA,VIJAYAWADA CITY,False,UNMATCHED,,,False,HIGH
46,41,1,32,0,30,1,5,132,329,31,46,6,113,27,8,139,79,210,0,302,548,3238,468,295,498,119,73,0.1445336627547869,2013,0.130118890356671,2014,Andhra Pradesh,VISAKHA RURAL,ANDHRA_PRADESH_TELANGANA_FAMILY||VISAKHA RURAL,79,0.1167513710976508,0.1167513710976508,0.0133675192590201,ANDHRA PRADESH TELANGANA,VISAKHA RURAL,False,UNMATCHED,,,False,HIGH
30,50,1,67,0,58,5,26,355,1203,332,9,64,336,21,8,149,100,548,0,379,2009,6775,872,386,1921,400,30,0.1287084870848708,2013,0.0940734989648033,2014,Andhra Pradesh,VISAKHAPATNAM,ANDHRA_PRADESH_TELANGANA_FAMILY||VISAKHAPATNAM,82,0.0761957985474184,0.0761957985474184,0.0178777004173848,ANDHRA PRADESH TELANGANA,VISAKHAPATNAM,False,UNMATCHED,,,False,MEDIUM
30,38,2,42,0,25,1,7,180,230,2,30,18,124,13,10,165,95,383,0,289,1624,4918,695,310,420,142,43,0.1413176087840585,2013,0.1869140235387991,2014,Andhra Pradesh,VIZIANAGARAM,ANDHRA_PRADESH_TELANGANA_FAMILY||VIZIANAGARAM,85,0.1164088650199504,0.1164088650199504,0.0705051585188487,ANDHRA PRADESH TELANGANA,VIZIANAGARAM,True,EXACT,ANDHRA PRADESH TELANGANA,VIZIANAGARAM,True,HIGH
52,54,4,52,0,63,1,17,256,327,17,140,3,237,0,20,206,10,129,0,290,1769,5421,417,449,618,240,140,0.0769230769230769,2013,0.1093714545041978,2014,Andhra Pradesh,WARANGAL,ANDHRA_PRADESH_TELANGANA_FAMILY||WARANGAL,88,0.0901492240480423,0.0901492240480423,0.0192222304561554,ANDHRA PRADESH TELANGANA,WARANGAL,True,EXACT,ANDHRA PRADESH TELANGANA,WARANGAL,True,HIGH
24,20,2,36,0,56,1,18,197,459,179,51,2,363,20,16,127,81,195,0,198,1131,4440,455,284,854,365,71,0.1024774774774774,2013,0.1073312236286919,2014,Andhra Pradesh,WARANGAL URBAN,ANDHRA_PRADESH_TELANGANA_FAMILY||WARANGAL URBAN,91,0.0909486550661868,0.0909486550661868,0.016382568562505,ANDHRA PRADESH TELANGANA,WARANGAL URBAN,False,UNMATCHED,,,False,HIGH
