STATE/UT,DISTRICT,YEAR,NEXT_YEAR,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,WOMEN_CRIME_SHARE,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,TOTAL IPC CRIMES,YEAR_NORMALIZED,NEXT_YEAR_WOMEN_CRIME_SHARE
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2002,3,2,0.0031152647975077,0.0,0.0093457943925233,14,4,266,11,1,0.043613707165109,0.8286604361370716,0.0062305295950155,0.0031152647975077,320,0.0,0.0145985401459854
ANDHRA PRADESH,VISAKHA RURAL,2001,2002,241,193,0.0037688442211055,0.0037688442211055,0.0756909547738693,1704,90,248,61,169,0.535175879396985,0.0778894472361809,0.01821608040201,0.0009422110552763,3183,0.0,0.0801498127340823
ANDHRA PRADESH,VISAKHAPATNAM,2001,2002,725,263,0.0037978381536663,0.0037978381536663,0.2118025124160093,372,38,959,232,24,0.1086765994741454,0.280163599182004,0.0064271107215892,0.0014607069821793,3422,0.0,0.108136667840789
ANDHRA PRADESH,VIZIANAGARAM,2001,2002,199,177,0.0036714089031665,0.0036714089031665,0.0913262964662689,615,50,245,54,48,0.2822395594309316,0.1124368976594768,0.0151445617255621,0.0009178522257916,2178,0.0,0.1130291820797369
ANDHRA PRADESH,WARANGAL,2001,2002,592,592,0.008386075949367,0.0128164556962025,0.0936708860759493,2313,265,709,145,330,0.3659810126582278,0.1121835443037974,0.025,0.0036392405063291,6319,0.0,0.0840887777430447
ANDHRA PRADESH,WEST GODAVARI,2001,2002,767,711,0.0107073898543092,0.0071967702299455,0.1346322625943479,1219,151,1395,335,128,0.2139722661049675,0.244865718799368,0.0135158855538002,0.0026329647182727,5696,0.0,0.1431870669745958
ARUNACHAL PRADESH,CHANGLANG,2001,2002,7,7,0.0060975609756097,0.0182926829268292,0.0426829268292682,47,17,49,7,1,0.2865853658536585,0.298780487804878,0.0670731707317073,0.024390243902439,163,0.0,0.0552486187845303
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2002,12,12,0.0142857142857142,0.0285714285714285,0.0857142857142857,40,13,44,3,0,0.2857142857142857,0.3142857142857143,0.0214285714285714,0.0357142857142857,139,0.0,0.1117318435754189
ARUNACHAL PRADESH,KAMENG EAST,2001,2002,14,14,0.0157480314960629,0.0551181102362204,0.1102362204724409,46,10,41,2,1,0.3622047244094488,0.3228346456692913,0.0236220472440944,0.0472440944881889,126,0.0,0.0866141732283464
ARUNACHAL PRADESH,KAMENG WEST,2001,2002,2,2,0.0,0.0192307692307692,0.0192307692307692,33,6,33,5,0,0.3173076923076923,0.3173076923076923,0.0384615384615384,0.0,103,0.0,0.0470588235294117
ARUNACHAL PRADESH,LOHIT,2001,2002,16,16,0.0104712041884816,0.031413612565445,0.0837696335078534,74,31,61,7,5,0.387434554973822,0.3193717277486911,0.0837696335078534,0.0418848167539267,190,0.0,0.0941176470588235
ARUNACHAL PRADESH,PAPUM PARE,2001,2002,33,33,0.0180360721442885,0.0300601202404809,0.0661322645290581,141,48,201,22,10,0.282565130260521,0.4028056112224449,0.0220440881763527,0.0581162324649298,498,0.0,0.0625
ARUNACHAL PRADESH,SIANG EAST,2001,2002,25,25,0.0204918032786885,0.0450819672131147,0.1024590163934426,74,15,89,8,2,0.3032786885245901,0.3647540983606557,0.0286885245901639,0.0327868852459016,243,0.0,0.1358490566037735
ARUNACHAL PRADESH,SIANG UPPER,2001,2002,10,10,0.0350877192982456,0.087719298245614,0.175438596491228,18,2,14,1,3,0.3157894736842105,0.2456140350877192,0.0175438596491228,0.0,56,0.0,0.0666666666666666
ARUNACHAL PRADESH,SIANG WEST,2001,2002,50,48,0.011049723756906,0.0469613259668508,0.1381215469613259,102,29,117,10,5,0.281767955801105,0.3232044198895027,0.0138121546961325,0.0276243093922651,361,0.0,0.0933734939759036
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2002,12,12,0.0134228187919463,0.0402684563758389,0.0805369127516778,42,26,50,5,7,0.2818791946308724,0.3355704697986577,0.0536912751677852,0.046979865771812,148,0.0,0.0588235294117647
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2002,13,13,0.0141843971631205,0.0070921985815602,0.0921985815602836,45,9,45,2,2,0.3191489361702128,0.3191489361702128,0.0283687943262411,0.0354609929078014,140,0.0,0.0526315789473684
ARUNACHAL PRADESH,TAWANG,2001,2002,7,6,0.0204081632653061,0.0,0.1428571428571428,5,2,16,1,0,0.1020408163265306,0.3265306122448979,0.0408163265306122,0.0,48,0.0,0.0666666666666666
ARUNACHAL PRADESH,TIRAP,2001,2002,7,7,0.0078125,0.046875,0.0546875,46,15,37,2,1,0.359375,0.2890625,0.0625,0.015625,127,0.0,0.028169014084507
ASSAM,BARPETA,2001,2002,267,267,0.0157391793142214,0.0590219224283305,0.1500843170320404,576,114,368,56,234,0.3237774030354131,0.206857785272625,0.0359752670039347,0.0252951096121416,1778,0.0,0.1590314136125654
ASSAM,BONGAIGAON,2001,2002,105,105,0.0246609124537607,0.0443896424167694,0.1294697903822441,246,92,217,17,99,0.3033292231812577,0.2675709001233046,0.0554870530209617,0.0308261405672009,810,0.0,0.1330891330891331
ASSAM,C.I.D.,2001,2002,0,0,0.0,0.0,0.0,0,0,1,5,0,0.0,0.1111111111111111,0.0,0.0,8,0.0,0.0377358490566037
ASSAM,CACHAR,2001,2002,452,452,0.0129945134276638,0.0300317643661565,0.1305226682067571,944,125,619,66,597,0.2725960150158822,0.1787467513716431,0.0150158821830782,0.0121282125324862,3462,0.0,0.1550695825049702
ASSAM,DARRANG,2001,2002,214,214,0.0329896907216494,0.0439862542955326,0.1470790378006873,522,103,346,46,116,0.3587628865979381,0.2378006872852233,0.0419243986254295,0.0199312714776632,1454,0.0,0.2273781902552204
ASSAM,DHEMAJI,2001,2002,99,99,0.0643185298621745,0.0474732006125574,0.1516079632465543,259,43,119,25,29,0.3966309341500765,0.1822358346094946,0.0229709035222052,0.0183767228177641,652,0.0,0.2318840579710145
ASSAM,DHUBRI,2001,2002,277,277,0.0285524568393094,0.045816733067729,0.1839309428950863,702,107,234,36,425,0.4661354581673306,0.1553784860557769,0.0431606905710491,0.0126162018592297,1505,0.0,0.2020905923344947
ASSAM,DIBRUGARH,2001,2002,155,155,0.0223499361430395,0.0363984674329501,0.098978288633461,539,167,482,26,41,0.3441890166028097,0.3077905491698595,0.070242656449553,0.0185185185185185,1565,0.0,0.1162507608034084
ASSAM,G.R.P.,2001,2002,4,4,0.002906976744186,0.0087209302325581,0.0116279069767441,74,30,170,1,9,0.2151162790697674,0.4941860465116279,0.0377906976744186,0.0465116279069767,343,0.0,0.0
ASSAM,GOALPARA,2001,2002,197,197,0.040045766590389,0.0491990846681922,0.2254004576659038,233,53,227,26,133,0.2665903890160183,0.2597254004576659,0.0320366132723112,0.0148741418764302,873,0.0,0.2604166666666667
ASSAM,GOLAGHAT,2001,2002,123,123,0.0257069408740359,0.0377035132819194,0.1053984575835475,243,82,346,23,47,0.2082262210796915,0.2964867180805484,0.0454155955441302,0.0231362467866323,1166,0.0,0.1350148367952522
ASSAM,GUWAHATI CITY,2001,2002,336,336,0.0084590763603109,0.0294924554183813,0.0768175582990397,1264,200,1074,131,169,0.2889803383630544,0.2455418381344307,0.0162322816643804,0.016689529035208,4373,0.0,0.0820980615735461
ASSAM,HAILAKANDI,2001,2002,117,117,0.0292326431181485,0.0438489646772229,0.1425091352009744,250,30,199,20,179,0.3045066991473812,0.2423873325213154,0.0219244823386114,0.0097442143727162,820,0.0,0.1607361963190184
ASSAM,JORHAT,2001,2002,173,173,0.035264483627204,0.0310663308144416,0.1452560873215785,255,91,306,49,43,0.2141057934508816,0.2569269521410579,0.033585222502099,0.0226700251889168,1190,0.0,0.1352785145888594
ASSAM,KAMRUP,2001,2002,187,187,0.0104373757455268,0.0472166998011928,0.0929423459244532,575,116,542,77,61,0.2857852882703777,0.2693836978131212,0.018389662027833,0.0203777335984095,2011,0.0,0.1218637992831541
ASSAM,KARBI ANGLONG,2001,2002,60,60,0.0069252077562326,0.0526315789473684,0.0831024930747922,283,127,137,15,114,0.39196675900277,0.1897506925207756,0.0900277008310249,0.0457063711911357,721,0.0,0.106060606060606
ASSAM,KARIMGANJ,2001,2002,115,115,0.0390995260663507,0.0497630331753554,0.1362559241706161,396,57,184,19,288,0.4691943127962085,0.2180094786729857,0.0379146919431279,0.0059241706161137,843,0.0,0.1642458100558659
ASSAM,KOKRAJHAR,2001,2002,112,112,0.018018018018018,0.0527670527670527,0.1441441441441441,331,125,155,15,56,0.425997425997426,0.1994851994851995,0.1119691119691119,0.0128700128700128,776,0.0,0.1727982162764771
ASSAM,LAKHIMPUR,2001,2002,251,251,0.0359550561797752,0.0404494382022471,0.1410112359550561,587,95,381,96,106,0.3297752808988764,0.2140449438202247,0.0146067415730337,0.0264044943820224,1779,0.0,0.2030114226375908
ASSAM,MORIGAON,2001,2002,96,96,0.0314207650273224,0.0532786885245901,0.1311475409836065,149,39,175,12,84,0.203551912568306,0.2390710382513661,0.0273224043715847,0.0136612021857923,731,0.0,0.1877394636015325
ASSAM,N.C.HILLS,2001,2002,19,19,0.0106382978723404,0.0425531914893617,0.101063829787234,57,31,56,11,7,0.3031914893617021,0.2978723404255319,0.0904255319148936,0.026595744680851,187,0.0,0.116822429906542
ASSAM,NAGAON,2001,2002,420,416,0.0159225725881985,0.0371526693724633,0.1311270683733999,933,153,871,73,308,0.2912894161723384,0.2719325632219794,0.0296596940368404,0.0103028410864814,3202,0.0,0.1468509984639016
ASSAM,NALBARI,2001,2002,117,117,0.0251046025104602,0.0443514644351464,0.0979079497907949,330,154,269,35,25,0.2761506276150627,0.2251046025104602,0.0661087866108786,0.0326359832635983,1194,0.0,0.1106719367588932
ASSAM,R.P.O.,2001,2002,5,5,0.0294117647058823,0.0196078431372549,0.0490196078431372,26,13,45,1,13,0.2549019607843137,0.4411764705882353,0.1078431372549019,0.0196078431372549,101,0.0,0.1428571428571428
ASSAM,SIBSAGAR,2001,2002,139,139,0.028588807785888,0.0389294403892944,0.0845498783454987,460,124,388,48,71,0.2798053527980535,0.2360097323600973,0.0358880778588807,0.0249391727493917,1643,0.0,0.116365568544102
ASSAM,SONITPUR,2001,2002,283,283,0.0229437229437229,0.0376623376623376,0.1225108225108225,669,133,579,44,117,0.2896103896103896,0.2506493506493506,0.0372294372294372,0.009090909090909,2309,0.0,0.1713656387665198
ASSAM,TINSUKIA,2001,2002,135,135,0.0296671490593342,0.044862518089725,0.097684515195369,419,160,519,22,23,0.3031837916063676,0.3755426917510854,0.077424023154848,0.0253256150506512,1381,0.0,0.0867739678096571
BIHAR,ARARIA,2001,2002,236,236,0.044927536231884,0.0381642512077294,0.1140096618357487,506,121,323,73,378,0.2444444444444444,0.1560386473429951,0.0227053140096618,0.0207729468599033,2069,0.0,0.1097794822627037
BIHAR,ARWAL,2001,2002,45,45,0.0,0.0219594594594594,0.0760135135135135,395,110,57,16,90,0.6672297297297297,0.0962837837837837,0.0625,0.0135135135135135,591,0.0,0.0543657331136738
BIHAR,AURANGABAD,2001,2002,107,105,0.0094618568894145,0.0141927853341218,0.0632761679479597,328,148,287,43,158,0.1939680662329982,0.1697220579538734,0.0437610881135422,0.0165582495564754,1690,0.0,0.0319930825767401
BIHAR,BAGAHA,2001,2002,87,87,0.0273822562979189,0.0613362541073384,0.0952902519167579,532,122,132,16,73,0.5826944140197152,0.144578313253012,0.0372398685651697,0.0098576122672508,912,0.0,0.0829918032786885
BIHAR,BANKA,2001,2002,86,86,0.0245133381398702,0.019466474405191,0.0620043258832011,356,152,212,7,200,0.2566690699351117,0.1528478731074261,0.0670511896178803,0.0281182408074981,1386,0.0,0.0581162324649298
BIHAR,BEGUSARAI,2001,2002,140,140,0.00494484594903,0.0201597565614302,0.0532521871434005,485,273,426,52,153,0.1844807911753518,0.1620387980220616,0.0471662228984404,0.0254849752757702,2628,0.0,0.0592471358428805
BIHAR,BETTIAH,2001,2002,206,198,0.0071505184125849,0.0300321773328566,0.0736503396496246,1309,127,398,69,361,0.4680014301036825,0.1422953164104397,0.0235967107615302,0.0114408294601358,2796,0.0,0.0842201276983885
BIHAR,BHABHUA,2001,2002,90,90,0.0073046018991964,0.0314097881665449,0.0657414170927684,373,95,340,31,207,0.2724616508400292,0.2483564645726808,0.0299488677867056,0.0189919649379108,1368,0.0,0.0615894039735099
BIHAR,BHAGALPUR,2001,2002,188,188,0.0132827324478178,0.0250474383301707,0.0713472485768501,442,262,574,70,184,0.1677419354838709,0.2178368121442125,0.0485768500948766,0.0208728652751423,2634,0.0,0.0659025787965616
BIHAR,BHOJPUR,2001,2002,124,120,0.0078375489846811,0.0163876024225151,0.0441752760954756,972,217,409,31,240,0.3462771642322764,0.1457071606697542,0.0480940505878161,0.0174563591022443,2806,0.0,0.0645268034414295
BIHAR,BUXAR,2001,2002,57,57,0.004776119402985,0.0202985074626865,0.0340298507462686,356,128,338,57,207,0.2125373134328358,0.2017910447761194,0.0334328358208955,0.0202985074626865,1674,0.0,0.0483432916892992
BIHAR,DARBHANGA,2001,2002,169,169,0.0073843762145355,0.0151574038087835,0.0656820831713952,300,158,234,108,159,0.1165954139137193,0.0909444228527011,0.020598523124757,0.0143801010493587,2572,0.0,0.091321243523316
BIHAR,GAYA,2001,2002,168,168,0.0078542255733584,0.0207351555136663,0.0527803958529689,1200,491,779,136,440,0.3770028275212064,0.2447376688658498,0.0628338045868677,0.0358152686145146,3182,0.0,0.05312
BIHAR,GOPALGANJ,2001,2002,251,249,0.006193425440686,0.0281086231538828,0.1195807527393997,545,276,339,120,233,0.2596474511672225,0.1615054787994283,0.050976655550262,0.03477846593616,2098,0.0,0.0648330058939096
BIHAR,JAMALPUR RLY.,2001,2002,7,7,0.0044247787610619,0.0176991150442477,0.0309734513274336,20,20,140,3,0,0.0884955752212389,0.6194690265486725,0.0309734513274336,0.0575221238938053,225,0.0,0.0333333333333333
BIHAR,JAMUI,2001,2002,63,63,0.0095510983763132,0.0133715377268385,0.0601719197707736,517,158,157,18,135,0.4937917860553963,0.1499522445081184,0.0639923591212989,0.0133715377268385,1046,0.0,0.0886558627264061
BIHAR,JEHANABAD,2001,2002,70,70,0.0044313146233382,0.0258493353028065,0.051698670605613,347,177,211,51,170,0.2562776957163958,0.155834564254062,0.0539143279172821,0.0162481536189069,1353,0.0,0.0492797573919636
BIHAR,KATIHAR,2001,2002,141,141,0.0281456953642384,0.0270419426048565,0.0778145695364238,396,139,274,54,194,0.2185430463576159,0.15121412803532,0.0331125827814569,0.0165562913907284,1811,0.0,0.0947562097516099
BIHAR,KATIHAR RLY.,2001,2002,5,5,0.0,0.0071770334928229,0.0119617224880382,35,26,270,9,9,0.0837320574162679,0.645933014354067,0.0167464114832535,0.0454545454545454,417,0.0,0.0183908045977011
BIHAR,KHAGARIA,2001,2002,58,58,0.0055803571428571,0.0379464285714285,0.0647321428571428,302,130,138,10,168,0.3370535714285714,0.1540178571428571,0.0803571428571428,0.0323660714285714,895,0.0,0.072595281306715
BIHAR,KISHANGANJ,2001,2002,91,90,0.0244988864142538,0.0256124721603563,0.1013363028953229,171,51,120,20,124,0.1904231625835189,0.133630289532294,0.0278396436525612,0.0111358574610244,897,0.0,0.1044467425025853
BIHAR,LAKHISARAI,2001,2002,63,63,0.0132450331125827,0.0397350993377483,0.0834437086092715,225,123,126,11,97,0.2980132450331126,0.166887417218543,0.0807947019867549,0.0172185430463576,754,0.0,0.0709759188846641
BIHAR,MADHEPURA,2001,2002,79,79,0.0103480714957666,0.0460959548447789,0.0743179680150517,278,117,130,29,165,0.2615239887111947,0.1222953904045155,0.0526810912511759,0.0291627469426152,1062,0.0,0.0607843137254901
BIHAR,MADHUBANI,2001,2002,120,120,0.0044858523119392,0.0124223602484472,0.041407867494824,932,122,225,20,199,0.3216011042097998,0.077639751552795,0.0120772946859903,0.0058661145617667,2897,0.0,0.1579147640791476
BIHAR,MOTIHARI,2001,2002,232,231,0.011334363730036,0.0257599175682637,0.0597630087583719,779,302,485,155,388,0.2006697578567748,0.1249356002060793,0.0293663060278207,0.0203503348789283,3881,0.0,0.0726560800522079
BIHAR,MUNGER,2001,2002,103,103,0.0062535531552018,0.0255827174530983,0.0585559977259806,579,188,249,29,230,0.3291642978965321,0.1415577032404775,0.0289937464468447,0.0164866401364411,1758,0.0,0.0357320099255583
BIHAR,MUZAFFARPUR,2001,2002,483,477,0.0173273201993828,0.0268217422264419,0.1146451459767386,815,471,823,162,283,0.1934488488013292,0.195347733206741,0.036316164253501,0.0320436743413244,4212,0.0,0.0974506578947368
BIHAR,MUZAFFARPUR RLY.,2001,2002,12,12,0.0037105751391465,0.0092764378478664,0.0222634508348794,97,31,340,22,14,0.1799628942486085,0.6307977736549165,0.0241187384044526,0.0278293135435992,538,0.0,0.021311475409836
BIHAR,NALANDA,2001,2002,283,281,0.0114942528735632,0.0362068965517241,0.0813218390804597,1501,572,652,56,331,0.4313218390804598,0.1873563218390804,0.0597701149425287,0.0278735632183908,3479,0.0,0.0732758620689655
BIHAR,NAUGACHIA,2001,2002,45,45,0.0122591943957968,0.0507880910683012,0.0788091068301225,227,119,72,16,57,0.3975481611208406,0.1260945709281961,0.063047285464098,0.031523642732049,570,0.0,0.0842696629213483
BIHAR,NAWADAH,2001,2002,95,94,0.0098944591029023,0.0277044854881266,0.062664907651715,632,167,150,39,195,0.41688654353562,0.0989445910290237,0.0507915567282321,0.0204485488126649,1515,0.0,0.0899400399733511
BIHAR,PATNA,2001,2002,552,513,0.0031453867660764,0.0229496738117427,0.0643056849953401,2319,1459,2499,539,560,0.2701537744641193,0.2911230195712954,0.0505591798695247,0.0482292637465051,8583,0.0,0.0548926014319809
BIHAR,PATNA RLY.,2001,2002,13,13,0.000886524822695,0.0026595744680851,0.0115248226950354,77,66,854,12,11,0.0682624113475177,0.7570921985815603,0.0212765957446808,0.0186170212765957,1127,0.0,0.0196270853778213
BIHAR,PURNEA,2001,2002,138,138,0.018978102189781,0.0311435523114355,0.0671532846715328,604,300,499,36,276,0.2939172749391727,0.2428223844282238,0.0506082725060827,0.0472019464720194,2054,0.0,0.0576923076923076
BIHAR,ROHTAS,2001,2002,213,213,0.0084402430790006,0.0243079000675219,0.0719108710330857,1174,311,607,91,418,0.3963538149898717,0.2049291019581364,0.0428764348413234,0.0229574611748818,2961,0.0,0.0716374269005847
BIHAR,SAHARSA,2001,2002,67,67,0.0112464854732895,0.0253045923149015,0.0627928772258669,590,205,98,47,162,0.5529522024367385,0.091846298031865,0.0337394564198687,0.0140581068416119,1066,0.0,0.0692148760330578
BIHAR,SAMASTIPUR,2001,2002,195,157,0.0066573230553608,0.0262789067974772,0.0683251576734407,870,303,435,72,357,0.3048353188507358,0.1524176594253679,0.0374912403644008,0.0213735108619481,2853,0.0,0.0452118191527233
BIHAR,SARAN,2001,2002,275,275,0.0058088875980249,0.0188788846935811,0.0798722044728434,1487,300,504,27,352,0.4318907929131571,0.1463839674702294,0.0397908800464711,0.0270113273308161,3442,0.0,0.0729103111653447
BIHAR,SHEIKHPURA,2001,2002,60,60,0.0037267080745341,0.0198757763975155,0.0745341614906832,184,42,132,14,139,0.2285714285714285,0.1639751552795031,0.0347826086956521,0.0149068322981366,804,0.0,0.0675675675675675
BIHAR,SHEOHAR,2001,2002,29,29,0.0256410256410256,0.0303030303030303,0.0675990675990676,65,27,36,1,38,0.1515151515151515,0.0839160839160839,0.0419580419580419,0.0186480186480186,428,0.0,0.0915178571428571
BIHAR,SITAMARHI,2001,2002,92,92,0.0127919911012235,0.0189098998887652,0.0511679644048943,321,74,218,58,225,0.17853170189099,0.1212458286985539,0.0283648498331479,0.0083426028921023,1797,0.0,0.0690289921767142
BIHAR,SIWAN,2001,2002,103,103,0.0021574973031283,0.0275080906148867,0.0555555555555555,661,375,334,39,255,0.3565264293419633,0.1801510248112189,0.0625674217907227,0.0539374325782092,1853,0.0,0.0728805156172533
BIHAR,SUPAUL,2001,2002,89,89,0.017931858936043,0.0155409444112372,0.0531978481769276,316,146,249,17,170,0.1888822474596533,0.1488344291691572,0.0245068738792588,0.0239091452480573,1672,0.0,0.0499716070414537
BIHAR,VAISHALI,2001,2002,400,400,0.0049055678194751,0.0220750551876379,0.098111356389502,1045,314,553,204,303,0.2563159185675742,0.1356389502084866,0.026980623007113,0.0105469708118714,4076,0.0,0.0679048171793383
CHANDIGARH,CHANDIGARH,2001,2002,152,137,0.0052972336668628,0.0164802825191289,0.0447321954090641,239,53,1920,183,96,0.0703354914655679,0.5650382577987051,0.0044143613890523,0.0064743967039434,3397,0.0,0.050696086157079
