CLUSTER,TOTAL_IPC,WOMEN_CRIME_CORE_TOTAL,WOMEN_VIOLENCE,RAPE,KIDNAPPING_ABDUCTION,DOWRY_DEATHS,ASSAULT_WOMEN,CRUELTY_WOMEN,VIOLENT_CRIME,PROPERTY_CRIME,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME
0,3049.0,271.0,256.0,42.0,71.0,8.0,83.0,107.0,351.0,581.0,107.0,70.0
1,190.0,10.0,10.0,2.0,4.0,0.0,4.0,0.0,28.0,52.0,4.0,2.0
