STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,RECORD_ID,RECORD_OCCURRENCE,WOMEN_CRIME_TOTAL,WOMEN_VIOLENCE,RAPE_RATE_PROXY,KIDNAPPING_RATE_PROXY,WOMEN_CRIME_SHARE,VIOLENT_CRIME,SERIOUS_VIOLENT_CRIME,PROPERTY_CRIME,THEFT_SHARE,BURGLARY_SHARE,ECONOMIC_OFFENCES,PUBLIC_ORDER_CRIME,VIOLENT_CRIME_SHARE,PROPERTY_CRIME_SHARE,MURDER_SHARE,ROBBERY_SHARE,YEAR_NORMALIZED,TEMPORAL_KEY,NEXT_YEAR_WOMEN_CRIME_TOTAL,NEXT_YEAR_WOMEN_CRIME_SHARE,NEXT_YEAR_TOTAL_IPC_CRIMES,NEXT_YEAR,WOMEN_CRIME_CHANGE,WOMEN_CRIME_CHANGE_PCT,WOMEN_SHARE_CHANGE,TOTAL_IPC_CHANGE
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,6,56,0,56,67,49,18,27,1,50,218,392,54,338,220,25,243,5,33,1392,62,414,81,224,0,322,1726,5811,ANDHRA_PRADESH_KARIMNAGAR_2001_1,1,904,823,0.0096352374397797,0.0115278733654507,0.1555402615278733,1915,303,687,0.0674466620784583,0.0375086028905712,273,253,0.329490708878183,0.1182037164487267,0.0278733654507914,0.0086028905712319,0.0,"('ANDHRA PRADESH', 'KARIMNAGAR', 2001)",897,0.1265697756455482,7086,2002,-7,-0.7743362831858407,-0.02897048588232512,1275
ANDHRA PRADESH,KHAMMAM,2001,93,60,1,47,0,47,41,30,11,1,0,13,172,368,34,334,153,35,130,5,73,1026,17,180,336,172,0,209,1450,4582,ANDHRA_PRADESH_KHAMMAM_2001_1,1,793,457,0.0102552912939122,0.0089461051712851,0.1730307658738817,1346,167,554,0.0802967488544621,0.0375300021819768,170,226,0.2936940868426794,0.1208815186559022,0.02029238490072,0.0028365699323587,0.0,"('ANDHRA PRADESH', 'KHAMMAM', 2001)",1021,0.1808039667079865,5646,2002,228,28.7515762925599,0.007773200834104821,1064
ANDHRA PRADESH,KRISHNA,2001,65,51,0,37,0,37,36,21,15,3,0,15,163,478,27,451,70,24,104,1,62,1985,10,208,72,265,0,268,862,4779,ANDHRA_PRADESH_KRISHNA_2001_1,1,628,556,0.0077405857740585,0.007531380753138,0.1313807531380753,2186,131,659,0.1,0.0341004184100418,129,132,0.4573221757322175,0.1378661087866108,0.0135983263598326,0.0031380753138075,0.0,"('ANDHRA PRADESH', 'KRISHNA', 2001)",776,0.1458920849783793,5318,2002,148,23.56687898089172,0.01451133184030401,539
ANDHRA PRADESH,KURNOOL,2001,133,72,4,29,0,29,47,47,0,6,0,22,155,297,6,291,84,6,126,2,5,1547,13,141,107,92,0,292,1401,4581,ANDHRA_PRADESH_KURNOOL_2001_1,1,429,322,0.0063291139240506,0.0102575294631165,0.0936272370144041,1862,231,480,0.0648188563945875,0.033828022697512,134,89,0.4063727629855958,0.1047577477084242,0.0290266259275425,0.0048013967699694,0.0,"('ANDHRA PRADESH', 'KURNOOL', 2001)",558,0.1191035218783351,4684,2002,129,30.069930069930066,0.025476284863930998,103
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,26,59,0,59,42,27,15,8,0,27,249,316,33,283,157,22,84,0,0,867,14,176,41,69,0,280,2158,4819,ANDHRA_PRADESH_MAHABOOBNAGAR_2001_1,1,401,360,0.0122406639004149,0.008713692946058,0.0831950207468879,1301,277,600,0.0655601659751037,0.0516597510373443,106,157,0.2699170124481327,0.1244813278008298,0.0325726141078838,0.0056016597510373,0.0,"('ANDHRA PRADESH', 'MAHABOOBNAGAR', 2001)",642,0.1198879551820728,5354,2002,241,60.099750623441395,0.03669293443518491,535
ANDHRA PRADESH,MEDAK,2001,101,56,12,35,0,35,26,20,6,27,0,26,219,286,36,250,100,17,87,4,37,1367,26,100,25,192,0,335,454,3532,ANDHRA_PRADESH_MEDAK_2001_1,1,404,379,0.0099065949617888,0.0073591848287574,0.1143504104160769,1662,195,558,0.0809510331163317,0.0619869799037645,108,137,0.4704217378998018,0.1579394282479479,0.0285876026040192,0.0073591848287574,0.0,"('ANDHRA PRADESH', 'MEDAK', 2001)",521,0.1237823711095272,4208,2002,117,28.960396039603957,0.0094319606934503,676
ANDHRA PRADESH,NALGONDA,2001,122,60,1,35,0,35,27,19,8,6,0,28,133,318,43,275,220,13,122,8,72,1132,31,188,59,214,0,432,1781,5002,ANDHRA_PRADESH_NALGONDA_2001_1,1,554,495,0.0069958025184889,0.0053967619428342,0.1107335598640815,1563,211,485,0.0635618628822706,0.0265840495702578,143,292,0.3124125524685189,0.0969418348990605,0.0243853687787327,0.0055966420147911,0.0,"('ANDHRA PRADESH', 'NALGONDA', 2001)",633,0.1196371196371196,5290,2002,79,14.259927797833935,0.008903559773038097,288
ANDHRA PRADESH,NELLORE,2001,89,69,5,46,0,46,90,80,10,12,2,16,244,608,72,536,97,20,177,3,65,1119,10,207,228,287,0,266,1585,5245,ANDHRA_PRADESH_NELLORE_2001_1,1,868,640,0.0087685855890202,0.0171559283263438,0.1654593976362943,1395,179,880,0.1158978269157453,0.0465116279069767,200,162,0.2659168890583301,0.1677468547464735,0.0169653069004956,0.0030499428135722,0.0,"('ANDHRA PRADESH', 'NELLORE', 2001)",844,0.1610379698530814,5240,2002,-24,-2.7649769585253456,-0.004421427783212917,-5
ANDHRA PRADESH,NIZAMABAD,2001,106,49,14,21,0,21,38,21,17,7,0,22,158,234,48,186,51,61,122,1,30,1383,19,55,15,228,0,220,787,3621,ANDHRA_PRADESH_NIZAMABAD_2001_1,1,376,361,0.0057979017117614,0.0104914411927112,0.1038100496963003,1625,191,421,0.0646051905024848,0.0436223081170623,184,81,0.4486471562672556,0.116234124792932,0.0292655991165102,0.0060739922694643,0.0,"('ANDHRA PRADESH', 'NIZAMABAD', 2001)",454,0.1027614305115436,4417,2002,78,20.74468085106383,-0.0010486191847566967,796
ANDHRA PRADESH,PRAKASHAM,2001,102,82,3,19,0,19,31,12,19,15,0,14,147,278,33,245,138,16,88,1,43,1266,5,140,100,119,0,263,808,3678,ANDHRA_PRADESH_PRAKASHAM_2001_1,1,414,314,0.0051644468605599,0.0084262027724925,0.1125305789616743,1605,201,454,0.0755640119597716,0.0399565099211742,105,181,0.436259853220984,0.1234030986681163,0.027724925251427,0.0038053818972546,0.0,"('ANDHRA PRADESH', 'PRAKASHAM', 2001)",374,0.1028320043992301,3636,2002,-40,-9.66183574879227,-0.009698574562444204,-42
