SPLIT,MAE,RMSE,R2
TRAIN,0.01818052056624073,0.025633468055655147,0.7042589346163396
VALIDATION,0.018682178286083224,0.025953334247716585,0.813511915909787
TEST,0.023090974291384667,0.032899364636795395,0.7008478701581016
TRAIN_CLIPPED,0.018008379870643885,0.02549790075175046,0.7073788245729291
VALIDATION_CLIPPED,0.018487224464497205,0.025777463404853197,0.8160307977025045
TEST_CLIPPED,0.02288752138619285,0.03260997570741322,0.706087519424151
