State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Uttar Pradesh,62,Raibareilly,2015.0,34.0,0.0,90.0,21.0,77.0,0.0,30.0,0.0,5.0,51.0,0.0,0.0,0.0,0.0,308.0
Uttar Pradesh,63,Rampur,2015.0,44.0,0.0,108.0,10.0,58.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,431.0
Uttar Pradesh,64,Saharanpur,2015.0,68.0,10.0,168.0,27.0,145.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,641.0
Uttar Pradesh,65,Sambhal,2015.0,33.0,0.0,111.0,24.0,62.0,0.0,86.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,426.0
Uttar Pradesh,66,Sant Kabirnagar,2015.0,25.0,3.0,59.0,16.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,139.0
Uttar Pradesh,67,Shahjahanpur,2015.0,48.0,0.0,176.0,44.0,117.0,0.0,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,473.0
Uttar Pradesh,68,Shamli,2015.0,18.0,5.0,62.0,10.0,47.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0
Uttar Pradesh,69,Shrawasti,2015.0,5.0,2.0,42.0,7.0,32.0,0.0,1.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,138.0
Uttar Pradesh,70,Sidharthnagar,2015.0,16.0,0.0,75.0,28.0,43.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0
Uttar Pradesh,71,Sitapur,2015.0,63.0,0.0,192.0,62.0,139.0,0.0,133.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,607.0
Uttar Pradesh,72,Sonbhadra,2015.0,23.0,0.0,24.0,21.0,18.0,0.0,5.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,129.0
Uttar Pradesh,73,Bhadohi,2015.0,12.0,0.0,34.0,11.0,12.0,0.0,1.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,110.0
Uttar Pradesh,74,Sultanpur,2015.0,33.0,3.0,129.0,16.0,60.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,351.0
Uttar Pradesh,75,Unnao,2015.0,42.0,10.0,207.0,53.0,162.0,0.0,137.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,724.0
